system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21504,qasm simulator,1.0,1.6015625,6.84375,8.84765625,78.015625,-40.53125,1381.859375,-4630.25390625,39061.71875,-210964.5390625,1.6015625,-3.021024750543751,-4.97457112067767,-6.1318796547327725,-6.450226243356104
linear_4,mix,21504,qasm simulator,1.0,1.548828125,7.109375,7.181640625,86.3125,-93.591796875,1690.546875,-6599.333984375,51357.0,-289811.857421875,1.548828125,-3.3277547306358977,-5.121182150231324,-6.213929779955468,-6.4547904139650605
linear_4,mix,21504,qasm simulator,1.0,1.357421875,7.57421875,2.208984375,110.8984375,-271.705078125,2767.19140625,-13726.103515625,96691.421875,-584198.955078125,1.357421875,-3.8636168128742256,-5.563442972944259,-6.323324038040314,-6.4590861402229285
linear_4,mix,21504,qasm simulator,1.0,1.474609375,7.15625,3.427734375,102.9375,-241.212890625,2575.96875,-12750.697265625,90638.625,-548329.025390625,1.474609375,-3.8418564098499046,-5.657061586394473,-6.341426506487084,-6.459894701767979
linear_4,mix,21504,qasm simulator,1.0,1.669921875,7.31640625,9.177734375,83.2578125,-41.361328125,1441.60546875,-4684.978515625,39756.890625,-211946.955078125,1.669921875,-3.2598151053471374,-4.890230771103079,-6.150955232610903,-6.453111466254563
linear_4,mix,21504,qasm simulator,1.0,1.51171875,7.359375,6.44921875,92.8125,-123.83203125,1902.859375,-7839.83203125,59480.0,-340855.05078125,1.51171875,-3.454915660487645,-5.201182929139995,-6.245213724083214,-6.45600734790378
linear_4,mix,21504,qasm simulator,1.0,1.6015625,6.859375,10.3125,68.125,43.3359375,820.109375,-749.890625,13553.125,-42847.9296875,1.6015625,-2.746077825678371,-4.02121839613029,-5.091637552492617,-6.394241389721234
linear_4,mix,21504,qasm simulator,1.0,1.517578125,7.3515625,6.224609375,91.78125,-120.974609375,1851.3828125,-7534.673828125,57128.0,-325693.716796875,1.517578125,-3.5005473278252914,-5.126848588422108,-6.252029091891687,-6.457019092277594
linear_4,mix,21504,qasm simulator,1.0,1.52734375,7.1640625,5.953125,92.953125,-146.60546875,2024.2734375,-8868.8046875,66009.78125,-385816.55078125,1.52734375,-3.517607123832462,-5.366765041730552,-6.280067628317543,-6.457275974368477
linear_4,mix,21504,qasm simulator,1.0,1.51953125,6.96484375,6.66015625,85.0703125,-100.54296875,1690.53515625,-6741.05859375,51860.828125,-294379.60546875,1.51953125,-3.323506990341532,-5.1303506626423605,-6.221151293664294,-6.455227255204475
