system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21504,qasm simulator,1.6015625,-3.021024750543751,-4.97457112067767,-6.1318796547327725,-6.450226243356104
linear_4,mix,21504,qasm simulator,1.548828125,-3.3277547306358977,-5.121182150231324,-6.213929779955468,-6.4547904139650605
linear_4,mix,21504,qasm simulator,1.357421875,-3.8636168128742256,-5.563442972944259,-6.323324038040314,-6.4590861402229285
linear_4,mix,21504,qasm simulator,1.474609375,-3.8418564098499046,-5.657061586394473,-6.341426506487084,-6.459894701767979
linear_4,mix,21504,qasm simulator,1.669921875,-3.2598151053471374,-4.890230771103079,-6.150955232610903,-6.453111466254563
linear_4,mix,21504,qasm simulator,1.51171875,-3.454915660487645,-5.201182929139995,-6.245213724083214,-6.45600734790378
linear_4,mix,21504,qasm simulator,1.6015625,-2.746077825678371,-4.02121839613029,-5.091637552492617,-6.394241389721234
linear_4,mix,21504,qasm simulator,1.517578125,-3.5005473278252914,-5.126848588422108,-6.252029091891687,-6.457019092277594
linear_4,mix,21504,qasm simulator,1.52734375,-3.517607123832462,-5.366765041730552,-6.280067628317543,-6.457275974368477
linear_4,mix,21504,qasm simulator,1.51953125,-3.323506990341532,-5.1303506626423605,-6.221151293664294,-6.455227255204475
linear_4,mix,21504,qasm simulator,1.6796875,-2.6342493104007403,-4.204684806930113,-5.448109429163578,-6.415514080329651
linear_4,mix,21504,qasm simulator,1.703125,-3.555425943130963,-5.630570400252649,-6.312750132160409,-6.457822786655459
linear_4,mix,21504,qasm simulator,1.623046875,-3.1722285971568316,-4.941701095725402,-6.151341741753168,-6.452791804787994
linear_4,mix,21504,qasm simulator,1.5546875,-3.251296880909791,-5.169724172388369,-6.188688148780768,-6.4534522561240095
linear_4,mix,21504,qasm simulator,1.515625,-3.6051772277284844,-5.418176294936659,-6.2867802368476005,-6.457510305090457
linear_4,mix,21504,qasm simulator,1.6796875,-3.0252672916831176,-5.01565502593035,-6.128423200274267,-6.450817671182849
linear_4,mix,21504,qasm simulator,1.75,-2.970108076243615,-4.515400737813888,-5.918095715424492,-6.444160276953114
linear_4,mix,21504,qasm simulator,1.619140625,-3.2274561309715963,-5.148586530431598,-6.201383487106419,-6.453942142235448
linear_4,mix,21504,qasm simulator,1.6015625,-3.464256198404831,-5.30096736127834,-6.262500585645579,-6.456764718521277
linear_4,mix,21504,qasm simulator,1.609375,-3.6993823376736636,-5.68456498552538,-6.332834649724239,-6.45899993350688
linear_4,mix,21504,qasm simulator,1.626953125,-3.0093775102108586,-4.672361342288303,-6.0120646617925,-6.446827700405813
linear_4,mix,21504,qasm simulator,1.748046875,-3.391377847458754,-5.39305566886152,-6.268228439403025,-6.456801415984653
linear_4,mix,21504,qasm simulator,1.724609375,-2.6615069548197408,-4.5175634565549085,-5.824615920858449,-6.435805764579122
linear_4,mix,21504,qasm simulator,1.669921875,-3.7665089393385083,-5.605300387085011,-6.33933282023607,-6.459896042551932
linear_4,mix,21504,qasm simulator,1.66015625,-3.1830472709700888,-5.228983484596836,-6.208972747719477,-6.453759813999298
linear_4,mix,21504,qasm simulator,1.66796875,-3.1563146057442815,-5.2875855629301824,-6.223732402564384,-6.454034404068768
linear_4,mix,21504,qasm simulator,1.517578125,-3.171080675349784,-5.054473608999601,-6.163634031286443,-6.452137055126926
linear_4,mix,21504,qasm simulator,1.509765625,-3.7362975306979935,-5.584276715556578,-6.321932975280621,-6.458710518279091
linear_4,mix,21504,qasm simulator,1.546875,-3.26687309867158,-4.818190401644401,-6.142855332988741,-6.453063505148798
linear_4,mix,21504,qasm simulator,1.40234375,-3.237512239012538,-4.598901861988129,-6.040018777016421,-6.448887592690419
linear_4,mix,21504,qasm simulator,1.64453125,-3.071476580414696,-4.95593249169147,-6.122854140377584,-6.4507180720574855
linear_4,mix,21504,qasm simulator,1.494140625,-3.194553495375586,-4.751714798350285,-6.097050642147321,-6.450994999567682
linear_4,mix,21504,qasm simulator,1.56640625,-3.3102343283396936,-4.952324873651227,-6.195640889666124,-6.4549273658326065
linear_4,mix,21504,qasm simulator,1.4609375,-3.3118951950484274,-5.171416317327669,-6.2125831854715905,-6.454368875895554
linear_4,mix,21504,qasm simulator,1.54296875,-3.122724151949805,-4.883797007405275,-6.119113693707579,-6.45087877450022
linear_4,mix,21504,qasm simulator,1.5625,-3.2225324606347576,-5.167697560290386,-6.187517332000101,-6.453197376448176
linear_4,mix,21504,qasm simulator,1.62109375,-3.548688372047868,-5.149558872664221,-6.275102406103111,-6.45893492365356
linear_4,mix,21504,qasm simulator,1.576171875,-3.3355397653103505,-5.384310896963115,-6.249702332371849,-6.4553974749533936
linear_4,mix,21504,qasm simulator,1.62109375,-2.488901979735826,-4.2181592934241845,-5.425409850194063,-6.410068589774008
linear_4,mix,21504,qasm simulator,1.498046875,-3.4345876758212595,-5.3108171787985,-6.256335744806568,-6.456085154443168
linear_4,mix,21504,qasm simulator,1.623046875,-3.67232238229819,-5.480779105902528,-6.320596157000988,-6.459299259082396
linear_4,mix,21504,qasm simulator,1.716796875,-3.4504249197765384,-5.41998073123135,-6.286385785543852,-6.457506183283966
linear_4,mix,21504,qasm simulator,1.63671875,-3.02672792070518,-4.736101309394449,-6.037039426753113,-6.447452226013713
linear_4,mix,21504,qasm simulator,1.55078125,-2.977517325451722,-4.424022989874857,-5.825651009447599,-6.439448699763345
linear_4,mix,21504,qasm simulator,1.68359375,-3.4255185609857115,-5.394547079781157,-6.281257548950915,-6.457287653294578
linear_4,mix,21504,qasm simulator,1.80078125,-3.2094629911648793,-5.111157876565921,-6.197640621797307,-6.454481627655174
linear_4,mix,21504,qasm simulator,1.517578125,-3.5885984487961675,-5.510001121399483,-6.296981441737183,-6.4575056807309
linear_4,mix,21504,qasm simulator,1.650390625,-3.14480641891027,-5.156606891937901,-6.20383368319389,-6.45391213212965
linear_4,mix,21504,qasm simulator,1.595703125,-3.4561339428089917,-5.063135028892293,-6.2445263784265,-6.456698173485647
linear_4,mix,21504,qasm simulator,1.623046875,-3.3171440524452454,-5.370223015990756,-6.245643709996697,-6.455147094177647
linear_4,mix,21504,qasm simulator,1.55078125,-2.9544779408456123,-4.515523164991586,-5.887610477146085,-6.441681151162991
linear_4,mix,21504,qasm simulator,1.599609375,-3.2648786188699486,-5.342960252556838,-6.2359805667399595,-6.4546191781418205
linear_4,mix,21504,qasm simulator,1.607421875,-3.2108224443496303,-4.898208275947688,-6.147638053762604,-6.452608504584344
linear_4,mix,21504,qasm simulator,1.689453125,-2.7997115386659495,-4.403896395395067,-5.78372763417876,-6.436865160739721
linear_4,mix,21504,qasm simulator,1.59765625,-3.3902738472450817,-5.124561060946116,-6.230326588056898,-6.455889956200624
linear_4,mix,21504,qasm simulator,1.578125,-3.3812516895284555,-5.255818543846784,-6.24439886148461,-6.455802950417004
linear_4,mix,21504,qasm simulator,1.66015625,-2.6332645826237657,-4.248306848940433,-5.519301871042822,-6.420689723889579
linear_4,mix,21504,qasm simulator,1.53515625,-3.4413985475588724,-5.272459972178636,-6.25049279047477,-6.456185886496151
linear_4,mix,21504,qasm simulator,1.640625,-3.197052838316184,-4.843128704557397,-6.152023457910481,-6.454087281062321
linear_4,mix,21504,qasm simulator,1.654296875,-2.7358473588483254,-3.976889806376476,-4.905824547986413,-6.385017160028812
linear_4,mix,21504,qasm simulator,1.466796875,-3.237997094317443,-4.980423854215645,-6.166313521518806,-6.4531747925930105
linear_4,mix,21504,qasm simulator,1.689453125,-3.306257153299199,-5.390216655862336,-6.253119416769009,-6.455638941649941
linear_4,mix,21504,qasm simulator,1.625,-3.1767491069944445,-5.048745620108122,-6.188696053139158,-6.454311626212613
linear_4,mix,21504,qasm simulator,1.638671875,-3.4466858991334486,-5.270293706698292,-6.26121051395446,-6.457096170448127
linear_4,mix,21504,qasm simulator,1.4921875,-3.6323394062701357,-5.3754147333904925,-6.29692452134267,-6.458016935801915
linear_4,mix,21504,qasm simulator,1.599609375,-3.2383815683697925,-5.055764860176752,-6.184689505065764,-6.45360849314355
linear_4,mix,21504,qasm simulator,1.5859375,-3.5879647442289198,-5.511330546376764,-6.301196882078283,-6.457774355547079
linear_4,mix,21504,qasm simulator,1.73828125,-3.3031071970896053,-5.461641347234265,-6.268170170338563,-6.456041734816733
linear_4,mix,21504,qasm simulator,1.515625,-2.891832273080741,-4.7334775295020926,-5.98815267950445,-6.4440254931679295
linear_4,mix,21504,qasm simulator,1.615234375,-3.160158873712475,-4.938328812143357,-6.144527700316756,-6.451982842667793
linear_4,mix,21504,qasm simulator,1.546875,-3.656491368849242,-5.534726916240807,-6.310601923149871,-6.458114787524665
linear_4,mix,21504,qasm simulator,1.640625,-3.3940260459223315,-5.55367457064365,-6.282135701110128,-6.456229357974117
linear_4,mix,21504,qasm simulator,1.662109375,-3.3690950141525553,-4.9787741388928595,-6.232099243542731,-6.457160746574105
linear_4,mix,21504,qasm simulator,1.724609375,-3.049687196492388,-4.834732189920676,-6.111891712424177,-6.452132719695733
linear_4,mix,21504,qasm simulator,1.474609375,-3.2867172258542,-5.02609779529217,-6.186354620399939,-6.453692664287514
linear_4,mix,21504,qasm simulator,1.580078125,-3.2068791725772785,-5.190652698630392,-6.204946556016408,-6.453760713965638
linear_4,mix,21504,qasm simulator,1.54296875,-2.8155222370291213,-4.833467153701171,-6.01629723837525,-6.44424556418026
linear_4,mix,21504,qasm simulator,1.5859375,-3.558168725890718,-5.3844057547697215,-6.2848878253067735,-6.457547220901148
linear_4,mix,21504,qasm simulator,1.697265625,-3.2858064336985118,-5.100878782808982,-6.208580157544384,-6.454863503756151
linear_4,mix,21504,qasm simulator,1.435546875,-3.333112555324577,-5.163551247118335,-6.217254252794956,-6.454481704935532
linear_4,mix,21504,qasm simulator,1.60546875,-3.3506719818202204,-5.154586436598599,-6.240331443629136,-6.456725065819086
linear_4,mix,21504,qasm simulator,1.580078125,-3.855463086932361,-5.67808959443232,-6.337216730414488,-6.459256588895926
linear_4,mix,21504,qasm simulator,1.677734375,-2.9821202276654364,-4.980360803694149,-6.113159753516602,-6.449611906360369
linear_4,mix,21504,qasm simulator,1.654296875,-3.214662360229841,-5.100925198150017,-6.204023269715771,-6.454157678734096
linear_4,mix,21504,qasm simulator,1.662109375,-3.3589951966954987,-5.347804747448894,-6.256459460528435,-6.456146800518534
linear_4,mix,21504,qasm simulator,1.63671875,-3.4466005193545217,-5.677297048025724,-6.308796129797676,-6.456963211011905
