system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21504,qasm simulator,1.0,1.82421875,6.9375,9.953125,87.890625,-91.57421875,1906.890625,-8015.9140625,63218.96875,-368833.72265625,1.82421875,-3.2800572503826855,-5.8496052155872595,-6.3534670996003015,-6.458567874607885
linear_4,mix,21504,qasm simulator,1.0,1.791015625,6.56640625,9.978515625,80.0390625,-68.068359375,1678.88671875,-6812.068359375,54751.828125,-316700.490234375,1.791015625,-3.0197464504732565,-5.797355585482223,-6.3279738142545465,-6.456623248433532
linear_4,mix,21504,qasm simulator,1.0,1.748046875,6.61328125,9.919921875,75.9453125,-35.517578125,1408.71484375,-4949.783203125,41922.390625,-231797.345703125,1.748046875,-2.96412702751763,-5.305573197399815,-6.248254171946293,-6.456364086111544
linear_4,mix,21504,qasm simulator,1.0,1.919921875,7.14453125,10.771484375,86.8359375,-65.845703125,1764.04296875,-6907.525390625,56142.234375,-321083.861328125,1.919921875,-3.419332989584544,-5.675829365090893,-6.357139018205624,-6.463245154978146
linear_4,mix,21504,qasm simulator,1.0,1.83984375,6.78515625,10.91796875,76.9453125,-24.23828125,1405.44921875,-4784.97265625,41533.265625,-228200.12890625,1.83984375,-3.002482727334309,-5.3601810811429775,-6.254659926631165,-6.456621913255351
linear_4,mix,21504,qasm simulator,1.0,1.84375,7.26953125,9.8359375,89.4140625,-79.3125,1811.46484375,-7138.7578125,57129.453125,-326161.15625,1.84375,-3.490955249602817,-5.510829907422009,-6.361382612686032,-6.4641443359057185
linear_4,mix,21504,qasm simulator,1.0,1.7578125,7.14453125,8.63671875,90.6796875,-105.625,1922.35546875,-8014.77734375,62244.921875,-360602.5703125,1.7578125,-3.496748784611326,-5.552742679602075,-6.3600382568606655,-6.4629524013413295
linear_4,mix,21504,qasm simulator,1.0,1.82421875,6.87890625,10.7109375,79.2421875,-31.29296875,1462.27734375,-5058.875,43378.671875,-239074.22265625,1.82421875,-3.0676404070829624,-5.347759841149645,-6.277710187088685,-6.458259463692457
linear_4,mix,21504,qasm simulator,1.0,1.943359375,6.67578125,11.845703125,75.4921875,-17.267578125,1411.01171875,-4895.583984375,42881.046875,-238311.541015625,1.943359375,-2.9275453058333367,-5.664805705612924,-6.306126252616561,-6.45938072647098
linear_4,mix,21504,qasm simulator,1.0,1.77734375,7.41015625,8.375,96.4609375,-130.79296875,2120.27734375,-9187.6015625,70135.484375,-410654.42578125,1.77734375,-3.683798256631096,-5.6249152860571865,-6.360928201729271,-6.461750680591417
linear_4,mix,21504,qasm simulator,1.0,1.828125,7.14453125,9.2421875,90.9296875,-107.875,1978.94921875,-8436.3671875,65476.046875,-382592.828125,1.828125,-3.5406969333841056,-5.725158827749057,-6.35049619733776,-6.4607777067465015
linear_4,mix,21504,qasm simulator,1.0,1.6484375,6.9140625,7.24609375,89.359375,-127.046875,1959.4921875,-8531.13671875,64620.21875,-378385.1796875,1.6484375,-3.459262177935271,-5.541789075701423,-6.332439343655912,-6.460390592094578
linear_4,mix,21504,qasm simulator,1.0,1.87109375,6.80859375,10.35546875,82.0234375,-63.58203125,1679.30078125,-6648.97265625,53877.796875,-309328.84765625,1.87109375,-3.2391248179953407,-5.716392426654293,-6.332439729448085,-6.460430339855714
linear_4,mix,21504,qasm simulator,1.0,1.830078125,6.90234375,9.490234375,87.8046875,-101.599609375,1933.70703125,-8298.439453125,64662.609375,-379168.029296875,1.830078125,-3.3943520464742236,-5.852302330359925,-6.35517362721758,-6.459866948469355
