system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21504,qasm simulator,1.82421875,-3.2800572503826855,-5.8496052155872595,-6.3534670996003015,-6.458567874607885
linear_4,mix,21504,qasm simulator,1.791015625,-3.0197464504732565,-5.797355585482223,-6.3279738142545465,-6.456623248433532
linear_4,mix,21504,qasm simulator,1.748046875,-2.96412702751763,-5.305573197399815,-6.248254171946293,-6.456364086111544
linear_4,mix,21504,qasm simulator,1.919921875,-3.419332989584544,-5.675829365090893,-6.357139018205624,-6.463245154978146
linear_4,mix,21504,qasm simulator,1.83984375,-3.002482727334309,-5.3601810811429775,-6.254659926631165,-6.456621913255351
linear_4,mix,21504,qasm simulator,1.84375,-3.490955249602817,-5.510829907422009,-6.361382612686032,-6.4641443359057185
linear_4,mix,21504,qasm simulator,1.7578125,-3.496748784611326,-5.552742679602075,-6.3600382568606655,-6.4629524013413295
linear_4,mix,21504,qasm simulator,1.82421875,-3.0676404070829624,-5.347759841149645,-6.277710187088685,-6.458259463692457
linear_4,mix,21504,qasm simulator,1.943359375,-2.9275453058333367,-5.664805705612924,-6.306126252616561,-6.45938072647098
linear_4,mix,21504,qasm simulator,1.77734375,-3.683798256631096,-5.6249152860571865,-6.360928201729271,-6.461750680591417
linear_4,mix,21504,qasm simulator,1.828125,-3.5406969333841056,-5.725158827749057,-6.35049619733776,-6.4607777067465015
linear_4,mix,21504,qasm simulator,1.6484375,-3.459262177935271,-5.541789075701423,-6.332439343655912,-6.460390592094578
linear_4,mix,21504,qasm simulator,1.87109375,-3.2391248179953407,-5.716392426654293,-6.332439729448085,-6.460430339855714
linear_4,mix,21504,qasm simulator,1.830078125,-3.3943520464742236,-5.852302330359925,-6.35517362721758,-6.459866948469355
linear_4,mix,21504,qasm simulator,1.91796875,-2.7190432697501237,-5.215021116756954,-6.1976963427866405,-6.452846969262551
linear_4,mix,21504,qasm simulator,1.818359375,-3.060368970218082,-5.321387858482863,-6.273130222431123,-6.46015809888698
linear_4,mix,21504,qasm simulator,1.78515625,-3.0635651128419554,-5.702739607173393,-6.31499663397741,-6.456262410733229
linear_4,mix,21504,qasm simulator,1.7109375,-3.585650216369269,-5.697027376651201,-6.350545566358102,-6.4595815773169605
linear_4,mix,21504,qasm simulator,1.83203125,-3.150990374915074,-5.430731006164098,-6.311056591784365,-6.4617923908533275
linear_4,mix,21504,qasm simulator,1.849609375,-3.4172669818212875,-5.884475664728317,-6.360537720878145,-6.459680902545059
linear_4,mix,21504,qasm simulator,1.896484375,-3.4983151773349803,-5.924505352441707,-6.370290007161967,-6.461989808520684
linear_4,mix,21504,qasm simulator,1.7421875,-3.413605653960465,-5.401307746694769,-6.3383927982505615,-6.46245665160776
linear_4,mix,21504,qasm simulator,1.75,-3.3457620477459833,-5.590412715966238,-6.3282222375082195,-6.459735727127393
linear_4,mix,21504,qasm simulator,1.896484375,-2.835333667302258,-5.41945070982894,-6.275166112281578,-6.4591011171742085
linear_4,mix,21504,qasm simulator,1.927734375,-3.340475361185444,-5.930956805992983,-6.370007483560056,-6.464391695818698
linear_4,mix,21504,qasm simulator,1.876953125,-2.864832050598671,-4.928449392552179,-6.237373451849673,-6.470642502334112
linear_4,mix,21504,qasm simulator,1.671875,-3.666250677139689,-5.697441858975338,-6.354358401831085,-6.460558007788643
linear_4,mix,21504,qasm simulator,1.734375,-3.1600443552878184,-5.340570190973434,-6.277998700885478,-6.458924722376846
linear_4,mix,21504,qasm simulator,1.80078125,-2.9183200536788245,-5.6687384762515745,-6.298007114692901,-6.454649370450513
linear_4,mix,21504,qasm simulator,1.677734375,-3.7821261182176804,-5.927059249343094,-6.378754126243351,-6.460370858769858
linear_4,mix,21504,qasm simulator,1.8671875,-3.5378456366566575,-5.823871544656574,-6.359825300440361,-6.4620056643301576
linear_4,mix,21504,qasm simulator,1.939453125,-3.004988836898422,-5.732953349801777,-6.324739896214458,-6.459104001823415
linear_4,mix,21504,qasm simulator,1.837890625,-3.7409461171580958,-5.575986345351961,-6.425442041508461,-6.475066447330125
linear_4,mix,21504,qasm simulator,1.84765625,-2.8954600026795188,-4.911254654470277,-6.240420192356868,-6.469220765592288
linear_4,mix,21504,qasm simulator,1.71875,-3.196000010870084,-5.293301530743086,-6.289538577397906,-6.458826849081411
linear_4,mix,21504,qasm simulator,1.759765625,-3.7084157632386896,-5.828487690272113,-6.372927772457485,-6.46167129270161
linear_4,mix,21504,qasm simulator,1.8203125,-3.2189349234442024,-5.372725897203249,-6.307040942526568,-6.460022937756728
linear_4,mix,21504,qasm simulator,1.818359375,-3.563585399909005,-5.853903100522764,-6.366548843145791,-6.462648004156494
linear_4,mix,21504,qasm simulator,1.880859375,-2.995715238742199,-5.49039706236846,-6.291743293849678,-6.45728930637906
linear_4,mix,21504,qasm simulator,1.845703125,-2.957685076896522,-5.146009067182178,-6.26275866167628,-6.4635181628640535
linear_4,mix,21504,qasm simulator,1.810546875,-2.9849936140808326,-5.807921478088025,-6.329854036014445,-6.4562065449479284
linear_4,mix,21504,qasm simulator,1.740234375,-2.6952989426515606,-5.039412221606056,-6.15271041232335,-6.451123392378634
linear_4,mix,21504,qasm simulator,1.8203125,-2.883099160082867,-5.315655305873934,-6.247705312623104,-6.454521041440369
linear_4,mix,21504,qasm simulator,1.880859375,-3.0502188107765043,-5.041768583788926,-6.256045698447407,-6.4633329777043524
linear_4,mix,21504,qasm simulator,1.671875,-3.8240155072297695,-5.600855448191192,-6.388872633315604,-6.46500329145004
linear_4,mix,21504,qasm simulator,1.80078125,-3.057938011450364,-5.191122785018559,-6.260306692490234,-6.458494160880143
linear_4,mix,21504,qasm simulator,1.78515625,-3.4197726454563933,-5.463071880672636,-6.338990687679388,-6.462576805096346
linear_4,mix,21504,qasm simulator,1.951171875,-2.926140944351812,-5.612639695949707,-6.299660221274084,-6.459129554065929
linear_4,mix,21504,qasm simulator,1.693359375,-3.1321275717862127,-5.366018043003076,-6.264626220721766,-6.455738010272693
linear_4,mix,21504,qasm simulator,1.86328125,-3.335872296007506,-5.8987991631510805,-6.366299789233786,-6.461932309465169
linear_4,mix,21504,qasm simulator,1.9140625,-3.557689747302882,-6.081483327926382,-6.3918240581682095,-6.461072579885235
linear_4,mix,21504,qasm simulator,1.650390625,-3.204730288480195,-5.178794661177227,-6.267465503873378,-6.4585023732342615
linear_4,mix,21504,qasm simulator,1.892578125,-3.6038259883549078,-5.698025760810933,-6.3815366924250725,-6.465465223171312
linear_4,mix,21504,qasm simulator,1.951171875,-1.8649027076647369,-4.772342796918839,-5.91731461490553,-6.4359329122407685
linear_4,mix,21504,qasm simulator,1.857421875,-3.2279260052959113,-5.765135656647648,-6.3341968139561535,-6.458254182603367
linear_4,mix,21504,qasm simulator,1.814453125,-3.4779834089767516,-5.5897709319361635,-6.356630626696797,-6.463940872729696
linear_4,mix,21504,qasm simulator,1.86328125,-3.4413539551420165,-5.815452132506293,-6.355072109329569,-6.460407790884274
linear_4,mix,21504,qasm simulator,1.7734375,-3.1308075491942895,-5.3325109181998425,-6.274640853310435,-6.458238709712848
linear_4,mix,21504,qasm simulator,1.978515625,-3.339869662907892,-5.619005520477301,-6.374290935582361,-6.471017027370841
linear_4,mix,21504,qasm simulator,1.880859375,-3.272289977455658,-5.898456131686714,-6.353865798423319,-6.460788073224457
linear_4,mix,21504,qasm simulator,1.75,-3.50433493388101,-5.63810820587216,-6.349314942122927,-6.461571843572935
linear_4,mix,21504,qasm simulator,1.9375,-2.209991540632554,-4.897611889511218,-6.029928876418397,-6.443943964012288
linear_4,mix,21504,qasm simulator,1.904296875,-3.210240423538611,-5.685708799696204,-6.334491633639171,-6.460315775472399
linear_4,mix,21504,qasm simulator,1.77734375,-3.2077745076719135,-5.6077517800907835,-6.313480417497425,-6.45796210105177
linear_4,mix,21504,qasm simulator,1.8125,-2.948807877427845,-5.115129888075842,-6.263053070146286,-6.464027189766983
linear_4,mix,21504,qasm simulator,1.833984375,-3.099066959641226,-5.366697073012965,-6.283793280084167,-6.459346364643969
linear_4,mix,21504,qasm simulator,1.896484375,-3.7292671425670565,-6.077853246639019,-6.398036042662542,-6.4627567970360085
linear_4,mix,21504,qasm simulator,1.783203125,-3.6753819157688343,-5.639260027435569,-6.3742131691388,-6.46357353938078
linear_4,mix,21504,qasm simulator,1.76953125,-3.875974681601084,-5.878001186664855,-6.388843703645864,-6.462356252713716
linear_4,mix,21504,qasm simulator,1.76171875,-3.5927143378914015,-5.701875551306493,-6.366264689032705,-6.461673645675473
