system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21501,qasm simulator,1.0,1.9511677282377917,6.78343949044586,12.907173436357944,73.173703200956,21.493891615328614,1206.9538941677386,-3316.8092768554325,33041.15156683257,-171940.55892009786,1.9511677282377917,-2.7012687301260123,-5.323848176277191,-6.2441411465693895,-6.456600570229799
linear_4,mix,21501,qasm simulator,0.9999999999999999,1.7954706298655343,7.043878273177633,9.964927546320471,83.60276356548674,-56.26910537978694,1614.1876138433518,-5999.358335363667,49308.3224043716,-276814.58822642174,1.7954706298655347,-3.2541053674773144,-5.37846123156719,-6.292291051091395,-6.458680777336987
linear_4,mix,21501,qasm simulator,1.0,1.897381457891012,7.080679405520169,9.5820426252712,89.91872889909851,-104.31212511456825,1966.2380587750738,-8403.212082187647,65405.33353056517,-382841.90988827386,1.897381457891012,-3.633580956661979,-5.819954056199032,-6.387931260205027,-6.467136723487634
linear_4,mix,21501,qasm simulator,1.0,1.843595187544232,7.106157112526537,9.401645145197405,91.37211838548377,-109.14103233441219,2008.867088974744,-8616.583226016039,66901.93636374187,-391832.6321046957,1.843595187544232,-3.5311772025860853,-5.800756133098362,-6.372127909801584,-6.462448769739927
linear_4,mix,21501,qasm simulator,1.0,1.8846426043878273,6.690021231422508,12.016555868806048,70.66825612288702,22.712366433469178,1106.518499182067,-2779.700683350153,28566.76464446066,-143532.28532479372,1.8846426043878273,-2.7502732354068016,-5.0095822955868465,-6.188945836432755,-6.459724429182901
linear_4,mix,21501,qasm simulator,0.9999999999999999,1.8506723283793347,7.015569709837223,10.15456011509055,85.67815251818594,-71.94504194076085,1755.4485979139852,-6970.369635585266,56092.961621013324,-321753.4947037463,1.8506723283793352,-3.331436404464878,-5.638283991161764,-6.334714674598766,-6.460393547729956
linear_4,mix,21501,qasm simulator,1.0,1.8549186128803963,7.10898796886058,9.986263385657772,87.09785017344798,-76.679834789368,1784.3991159374893,-7107.247409882467,56912.007993688596,-326424.3055816598,1.8549186128803963,-3.422449429341924,-5.598495265258288,-6.343859988311426,-6.462052690387976
linear_4,mix,21501,qasm simulator,1.0,1.825194621372965,6.70417551309271,10.921524949821908,76.60627893216385,-24.45429443226267,1411.7350712934913,-4845.18414488416,42017.14525541523,-231590.49427447707,1.825194621372965,-2.925075393090074,-5.414705581965907,-6.269378246659867,-6.4567055733838075
linear_4,mix,21501,qasm simulator,1.0,1.8549186128803963,7.0580325548478395,9.195851171208798,91.76583945331986,-121.45613912962781,2077.9974823941625,-9182.334389103522,70509.96801364378,-416530.82959172985,1.8549186128803963,-3.5956781833427933,-5.899977106924984,-6.370702941492655,-6.46152804993111
linear_4,mix,21501,qasm simulator,1.0,1.8096249115357397,7.094833687190377,10.728168180710735,78.45663801004723,-8.017762463308927,1288.1019224298957,-3702.7023424175977,34148.6113373476,-176378.5925887254,1.8096249115357397,-3.1347896845015026,-4.914463275216445,-6.275610974351986,-6.466019960090225
linear_4,mix,21501,qasm simulator,1.0,1.8549186128803958,6.8796886058032545,9.399649623519304,90.4466139941759,-125.19333356537113,2113.27867692272,-9562.245541981385,73219.59937581944,-436003.5076978414,1.8549186128803958,-3.477359263182448,-6.093023012117286,-6.388075672718315,-6.459372706361733
linear_4,mix,21501,qasm simulator,1.0,1.8903043170559095,6.871196036801135,11.726161057162415,75.8691425057719,-1.6599607856786323,1298.4096272319098,-3935.998967433559,36378.14255217938,-193317.35483159887,1.8903043170559095,-2.953915642338077,-5.230795920643994,-6.255153983620859,-6.459449997596591
linear_4,mix,21501,qasm simulator,1.0,1.9525831564048124,6.757961783439491,12.358613808545934,74.58815681087795,2.5720534150104353,1305.523754829278,-4058.8231990996987,37628.206664114245,-202664.32625619267,1.9525831564048124,-2.8500028897164453,-5.470577778248842,-6.2839940292015015,-6.460187662822758
linear_4,mix,21501,qasm simulator,1.0,1.7062986553432413,7.1854210898796875,7.8616941050897395,92.5478055062476,-124.08141032334407,2006.665703711438,-8613.809160836729,65743.96706229045,-383563.51751302276,1.7062986553432413,-3.548800814819882,-5.539759016155173,-6.340002004976503,-6.460685095102118
linear_4,mix,21501,qasm simulator,1.0,1.6978060863411184,6.842887473460721,8.653730581369725,84.9181836111981,-90.86293550520317,1776.7335282447546,-7302.86595199146,57238.58560439942,-330579.17052428814,1.6978060863411184,-3.2471527865462333,-5.534803910583941,-6.296687618506492,-6.456909557008567
linear_4,mix,21501,qasm simulator,1.0,1.8464260438782734,6.865534324133051,10.326685461696426,82.3146775260172,-58.80325548478426,1649.5873794855736,-6371.485874723006,52045.13082268858,-296435.7585302749,1.8464260438782734,-3.209907031777251,-5.610027306936001,-6.322587905403811,-6.460003250498412
linear_4,mix,21501,qasm simulator,1.0,1.8152866242038217,6.774946921443736,10.753088997946467,74.81518220737188,-9.558258791317282,1272.2640701681112,-3880.3953801352836,35209.955158771605,-186427.12033459794,1.8152866242038217,-2.9843855710576155,-5.090771648107846,-6.241214022662897,-6.461123736727078
linear_4,mix,21501,qasm simulator,1.0,1.775654635527247,7.114649681528663,8.76915758820322,93.45224090123328,-129.8142192521433,2126.1865000638095,-9448.794936943837,72152.62957548752,-426525.410683002,1.775654635527247,-3.5016933044782768,-5.839585540935255,-6.350827084119661,-6.458586131508258
linear_4,mix,21501,qasm simulator,1.0,1.7954706298655339,6.828733191790519,9.747624517072149,80.80945088348246,-56.45362152378997,1575.1744689243915,-5934.642569582227,48561.449595674916,-273906.4732750923,1.7954706298655339,-3.2124619327727597,-5.427807390286428,-6.303743022083378,-6.460845526115821
linear_4,mix,21501,qasm simulator,1.0,1.7615003538570417,7.024062278839349,8.116088313436126,93.86484981378995,-145.94067963755776,2191.8252874363343,-10004.580325548479,75392.69677351993,-448718.8100077733,1.7615003538570417,-3.5810454744068587,-5.877938940878224,-6.361570157863769,-6.459727333774693
linear_4,mix,21501,qasm simulator,1.0,1.9398443029016277,6.978768577494692,11.27081085470978,82.10691123409094,-41.8426438341861,1593.9475479447285,-5875.569187753063,49346.655076398274,-277844.9034028283,1.9398443029016277,-3.26287482072068,-5.62280858589912,-6.3530554351558175,-6.465736475592214
linear_4,mix,21501,qasm simulator,1.0,1.7841472045293703,7.191082802547771,8.38094740872228,96.98937268687709,-149.3995452066872,2264.9754040351304,-10309.826702864504,77841.53786270345,-462959.71722761675,1.7841472045293703,-3.6339324488215285,-5.893306130960774,-6.373287984888581,-6.460375461980767
linear_4,mix,21501,qasm simulator,1.0,1.7430997876857748,6.975937721160652,8.246562945946888,90.49691970345624,-124.17192811481232,2021.092722146811,-8876.812061304287,67735.55867645866,-398644.17854118085,1.7430997876857748,-3.489428301489074,-5.7220342622588065,-6.34495797105202,-6.459940929060091
linear_4,mix,21501,qasm simulator,1.0,1.7530077848549186,6.789101203113942,8.997691227825923,84.9663545763577,-95.20959938742128,1830.1131298365297,-7722.59157936259,60290.22664253476,-351468.26692422805,1.7530077848549186,-3.273657457557542,-5.701962453247633,-6.3197970630245575,-6.457553015613399
linear_4,mix,21501,qasm simulator,1.0,1.8917197452229302,7.10898796886058,10.786421171092783,84.10387154409285,-48.32941190119814,1620.4572181035574,-5955.680252456696,49620.940459202015,-278351.9441137908,1.8917197452229302,-3.3227255897537433,-5.480217713335313,-6.343460454494483,-6.464321957360301
linear_4,mix,21501,qasm simulator,1.0,1.7629157820240624,6.916489738145788,9.465153782789786,82.61089647651201,-62.95266436949648,1616.90514310907,-6138.2483496339555,49832.95869734202,-281305.44425881444,1.7629157820240624,-3.2404122440572567,-5.386571492956401,-6.297172134778728,-6.4594737015876165
linear_4,mix,21501,qasm simulator,1.0,1.7983014861995756,6.907997169143666,9.633775364588768,85.34193031916743,-82.0927105449399,1788.3215690369286,-7300.190572320264,57943.168575174284,-334835.4701077813,1.7983014861995756,-3.2807508693770373,-5.666298839573001,-6.323142108451611,-6.458350611842477
linear_4,mix,21501,qasm simulator,1.0,1.8167020523708421,7.0580325548478395,9.804067615699653,84.75993410137721,-66.50566751360319,1679.3168006682668,-6458.460756673972,52281.00788927173,-296497.53127284104,1.8167020523708421,-3.347562544457057,-5.452834021431407,-6.314798397199191,-6.460678000420803
linear_4,mix,21501,qasm simulator,1.0,1.7714083510261855,6.939136588818116,10.012506816098758,80.07570220319514,-36.27648416924801,1451.9685473298287,-4950.339609945119,42155.977132713786,-230252.27052080748,1.7714083510261855,-3.1443654087559714,-5.184263740344711,-6.288201251598691,-6.461326055438411
linear_4,mix,21501,qasm simulator,1.0,1.796886058032555,6.6871903750884645,10.675194041279461,74.06857865487916,-10.329110252572725,1269.8947362314802,-3919.5874490967935,35431.533802048936,-188446.11605350746,1.796886058032555,-2.918105267229704,-5.124588660933477,-6.233815676568434,-6.459184272284151
linear_4,mix,21501,qasm simulator,1.0,1.8478414720452938,7.004246284501063,10.602566333692993,82.45148677966891,-44.7579385796989,1573.0667803649944,-5707.876614110192,47795.482336152534,-267027.67993920617,1.8478414720452938,-3.209547590246387,-5.43376413666655,-6.316921773217111,-6.461122409997868
linear_4,mix,21501,qasm simulator,1.0,1.883227176220807,6.800424628450107,10.180664323088886,83.88561716148641,-79.13200607937974,1790.6417110438185,-7418.841205202263,59018.61934263802,-343274.54492824204,1.883227176220807,-3.3161137967070227,-5.8638847846334725,-6.353634198244529,-6.460853232047949
linear_4,mix,21501,qasm simulator,1.0,1.7402689313517339,6.936305732484079,8.852226978989,87.64907823141093,-99.98077570104306,1878.2508672398003,-7888.3118814753,61466.60950425209,-357438.54267747997,1.7402689313517339,-3.334068377671375,-5.6418914744730735,-6.3271822585829725,-6.458529512719188
linear_4,mix,21501,qasm simulator,1.0,1.7841472045293703,6.709837225760792,9.827689023470583,76.35632824011233,-34.11869873423548,1385.8991913496461,-4755.207685078829,40443.25428979145,-221551.74335502842,1.7841472045293703,-3.112244873049222,-5.211412017657636,-6.288934024678452,-6.465158437079551
linear_4,mix,21501,qasm simulator,1.0,1.778485491861288,7.00990799716914,9.278479690926178,86.57028993073683,-84.7985451254746,1789.1453482301342,-7229.982597194674,57236.59416657965,-329187.2095297762,1.778485491861288,-3.3565001153369245,-5.549724724454014,-6.324788356377853,-6.459849067718913
linear_4,mix,21501,qasm simulator,1.0,1.7883934890304318,7.00424628450106,9.553362802083697,85.88331999118257,-77.40170315454839,1753.594758275034,-6972.4527861891365,55697.07415915443,-319007.5884236536,1.7883934890304318,-3.3152652600538532,-5.540952352788431,-6.32267291338206,-6.4596174318353725
linear_4,mix,21501,qasm simulator,1.0,1.8152866242038217,6.491861288039633,10.77673360945784,74.19786989662732,-24.400716995579742,1384.0440058937497,-4824.062336848697,41692.464504078045,-231157.27122852218,1.8152866242038217,-2.8201731094665874,-5.500378507191767,-6.282420010764593,-6.457655993270633
linear_4,mix,21501,qasm simulator,1.0,1.8945506015569709,6.825902335456474,11.907579501815697,72.9089021150209,18.438005406471284,1145.8800250600389,-2919.3841727286485,29520.124476465575,-148396.54499785343,1.8945506015569709,-2.8878396401329014,-4.9809643692017,-6.270304517210171,-6.471150729021586
linear_4,mix,21501,qasm simulator,1.0,1.8053786270346779,7.108987968860581,8.859872611464965,91.05241724966066,-113.74757810959144,1993.4805958720551,-8569.432471314374,66098.2899423387,-386868.759794879,1.8053786270346779,-3.5558757897823083,-5.706798085229957,-6.356337798709076,-6.46177496513342
linear_4,mix,21501,qasm simulator,1.0,1.924274593064402,6.661712668082097,10.708468205074668,83.47959811121552,-84.21613124035616,1865.5674242687915,-8027.534683791029,63540.617091875196,-374420.96287401544,1.924274593064402,-3.2134612414922805,-6.20183294273033,-6.4107839860899904,-6.4593874478293785
linear_4,mix,21501,qasm simulator,1.0,1.8039631988676574,6.808917197452232,9.563549244138152,82.31774041975567,-69.81456730824999,1668.3246783381478,-6583.061281078507,52870.19067673703,-302384.99923427653,1.8039631988676574,-3.2696316342959126,-5.555445247589956,-6.3274751621083425,-6.4619383129513635
