system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21501,qasm simulator,1.9511677282377917,-2.7012687301260123,-5.323848176277191,-6.2441411465693895,-6.456600570229799
linear_4,mix,21501,qasm simulator,1.7954706298655347,-3.2541053674773144,-5.37846123156719,-6.292291051091395,-6.458680777336987
linear_4,mix,21501,qasm simulator,1.897381457891012,-3.633580956661979,-5.819954056199032,-6.387931260205027,-6.467136723487634
linear_4,mix,21501,qasm simulator,1.843595187544232,-3.5311772025860853,-5.800756133098362,-6.372127909801584,-6.462448769739927
linear_4,mix,21501,qasm simulator,1.8846426043878273,-2.7502732354068016,-5.0095822955868465,-6.188945836432755,-6.459724429182901
linear_4,mix,21501,qasm simulator,1.8506723283793352,-3.331436404464878,-5.638283991161764,-6.334714674598766,-6.460393547729956
linear_4,mix,21501,qasm simulator,1.8549186128803963,-3.422449429341924,-5.598495265258288,-6.343859988311426,-6.462052690387976
linear_4,mix,21501,qasm simulator,1.825194621372965,-2.925075393090074,-5.414705581965907,-6.269378246659867,-6.4567055733838075
linear_4,mix,21501,qasm simulator,1.8549186128803963,-3.5956781833427933,-5.899977106924984,-6.370702941492655,-6.46152804993111
linear_4,mix,21501,qasm simulator,1.8096249115357397,-3.1347896845015026,-4.914463275216445,-6.275610974351986,-6.466019960090225
linear_4,mix,21501,qasm simulator,1.8549186128803958,-3.477359263182448,-6.093023012117286,-6.388075672718315,-6.459372706361733
linear_4,mix,21501,qasm simulator,1.8903043170559095,-2.953915642338077,-5.230795920643994,-6.255153983620859,-6.459449997596591
linear_4,mix,21501,qasm simulator,1.9525831564048124,-2.8500028897164453,-5.470577778248842,-6.2839940292015015,-6.460187662822758
linear_4,mix,21501,qasm simulator,1.7062986553432413,-3.548800814819882,-5.539759016155173,-6.340002004976503,-6.460685095102118
linear_4,mix,21501,qasm simulator,1.6978060863411184,-3.2471527865462333,-5.534803910583941,-6.296687618506492,-6.456909557008567
linear_4,mix,21501,qasm simulator,1.8464260438782734,-3.209907031777251,-5.610027306936001,-6.322587905403811,-6.460003250498412
linear_4,mix,21501,qasm simulator,1.8152866242038217,-2.9843855710576155,-5.090771648107846,-6.241214022662897,-6.461123736727078
linear_4,mix,21501,qasm simulator,1.775654635527247,-3.5016933044782768,-5.839585540935255,-6.350827084119661,-6.458586131508258
linear_4,mix,21501,qasm simulator,1.7954706298655339,-3.2124619327727597,-5.427807390286428,-6.303743022083378,-6.460845526115821
linear_4,mix,21501,qasm simulator,1.7615003538570417,-3.5810454744068587,-5.877938940878224,-6.361570157863769,-6.459727333774693
linear_4,mix,21501,qasm simulator,1.9398443029016277,-3.26287482072068,-5.62280858589912,-6.3530554351558175,-6.465736475592214
linear_4,mix,21501,qasm simulator,1.7841472045293703,-3.6339324488215285,-5.893306130960774,-6.373287984888581,-6.460375461980767
linear_4,mix,21501,qasm simulator,1.7430997876857748,-3.489428301489074,-5.7220342622588065,-6.34495797105202,-6.459940929060091
linear_4,mix,21501,qasm simulator,1.7530077848549186,-3.273657457557542,-5.701962453247633,-6.3197970630245575,-6.457553015613399
linear_4,mix,21501,qasm simulator,1.8917197452229302,-3.3227255897537433,-5.480217713335313,-6.343460454494483,-6.464321957360301
linear_4,mix,21501,qasm simulator,1.7629157820240624,-3.2404122440572567,-5.386571492956401,-6.297172134778728,-6.4594737015876165
linear_4,mix,21501,qasm simulator,1.7983014861995756,-3.2807508693770373,-5.666298839573001,-6.323142108451611,-6.458350611842477
linear_4,mix,21501,qasm simulator,1.8167020523708421,-3.347562544457057,-5.452834021431407,-6.314798397199191,-6.460678000420803
linear_4,mix,21501,qasm simulator,1.7714083510261855,-3.1443654087559714,-5.184263740344711,-6.288201251598691,-6.461326055438411
linear_4,mix,21501,qasm simulator,1.796886058032555,-2.918105267229704,-5.124588660933477,-6.233815676568434,-6.459184272284151
linear_4,mix,21501,qasm simulator,1.8478414720452938,-3.209547590246387,-5.43376413666655,-6.316921773217111,-6.461122409997868
linear_4,mix,21501,qasm simulator,1.883227176220807,-3.3161137967070227,-5.8638847846334725,-6.353634198244529,-6.460853232047949
linear_4,mix,21501,qasm simulator,1.7402689313517339,-3.334068377671375,-5.6418914744730735,-6.3271822585829725,-6.458529512719188
linear_4,mix,21501,qasm simulator,1.7841472045293703,-3.112244873049222,-5.211412017657636,-6.288934024678452,-6.465158437079551
linear_4,mix,21501,qasm simulator,1.778485491861288,-3.3565001153369245,-5.549724724454014,-6.324788356377853,-6.459849067718913
linear_4,mix,21501,qasm simulator,1.7883934890304318,-3.3152652600538532,-5.540952352788431,-6.32267291338206,-6.4596174318353725
linear_4,mix,21501,qasm simulator,1.8152866242038217,-2.8201731094665874,-5.500378507191767,-6.282420010764593,-6.457655993270633
linear_4,mix,21501,qasm simulator,1.8945506015569709,-2.8878396401329014,-4.9809643692017,-6.270304517210171,-6.471150729021586
linear_4,mix,21501,qasm simulator,1.8053786270346779,-3.5558757897823083,-5.706798085229957,-6.356337798709076,-6.46177496513342
linear_4,mix,21501,qasm simulator,1.924274593064402,-3.2134612414922805,-6.20183294273033,-6.4107839860899904,-6.4593874478293785
linear_4,mix,21501,qasm simulator,1.8039631988676574,-3.2696316342959126,-5.555445247589956,-6.3274751621083425,-6.4619383129513635
