system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21504,qasm simulator,1.0,1.5833333333333335,7.625000000000001,5.72552083333333,101.96250000000003,-175.63020833333317,2277.4083333333347,-10214.546354166667,75233.85833333338,-442511.9187499999,1.5833333333333335,-3.778130486028865,-5.419935826232107,-6.334874691051228,-6.460340984466127
linear_4,mix,21504,qasm simulator,1.0,1.6497395833333333,6.872395833333333,8.838281250000003,81.14479166666665,-64.47526041666661,1569.913020833333,-5926.653385416669,47872.70625,-269239.15859375,1.6497395833333333,-3.1217909383193185,-5.263270176103994,-6.204080733073505,-6.4529696467354345
linear_4,mix,21504,qasm simulator,1.0,1.6302083333333335,7.260416666666669,7.350000000000006,94.3458333333333,-137.69270833333303,2079.447916666666,-9100.88958333333,68726.62499999993,-402913.16562499944,1.6302083333333335,-3.50172415655503,-5.53574598845614,-6.295141872591833,-6.457115616917184
linear_4,mix,21504,qasm simulator,1.0,1.5846354166666667,7.239583333333333,6.436718749999996,93.57291666666664,-141.92578125000009,2029.2583333333332,-8829.827864583336,66102.95416666666,-385886.32786458323,1.5846354166666667,-3.567338850982183,-5.390665667693096,-6.296463391732205,-6.458286828601678
linear_4,mix,21504,qasm simulator,1.0,1.4739583333333333,7.151041666666666,6.343229166666668,90.46458333333335,-124.07291666666659,1883.3114583333331,-7874.445312500002,59595.36249999999,-343361.7447916666,1.4739583333333333,-3.3492099775118365,-5.253422561273387,-6.228278402129741,-6.454848121143527
linear_4,mix,21504,qasm simulator,0.9999999999999999,1.625,7.205729166666666,8.107291666666676,92.396875,-118.09374999999979,1992.8776041666663,-8475.215624999997,65126.052083333314,-379181.5958333333,1.6250000000000004,-3.3345082495872815,-5.545136245040308,-6.285571139501223,-6.456075560433501
linear_4,mix,21504,qasm simulator,1.0,1.5403645833333333,7.455729166666668,5.14036458333333,103.35312500000002,-202.36588541666688,2440.163020833333,-11460.38255208334,83338.45625000006,-497160.41380208347,1.5403645833333333,-3.7493941979885026,-5.578705193001008,-6.33012723235272,-6.459063057220283
linear_4,mix,21504,qasm simulator,1.0,1.61328125,7.083333333333332,6.779947916666667,93.65624999999997,-153.18880208333346,2138.7604166666656,-9692.334635416673,72229.43749999999,-427722.36588541674,1.61328125,-3.522882982590541,-5.619898172587739,-6.306913165918312,-6.4573915557383055
linear_4,mix,21504,qasm simulator,1.0,1.609375,7.143229166666664,7.490104166666671,87.58854166666664,-97.73958333333327,1750.6359374999995,-6967.279687499993,54099.9854166666,-307608.3968749996,1.609375,-3.398423873971433,-5.213692195561338,-6.258362267421738,-6.456994403862325
linear_4,mix,21504,qasm simulator,1.0,1.5234375,7.528645833333335,5.348437499999996,99.13020833333334,-167.10156250000014,2166.2338541666677,-9569.855729166678,70470.70208333342,-412104.043229167,1.5234375,-3.696468171278345,-5.317658671917837,-6.30494039992872,-6.459077187928271
linear_4,mix,21504,qasm simulator,1.0,1.454427083333333,6.690104166666664,8.311718749999999,69.72604166666667,1.975260416666634,977.2286458333323,-2043.9757812500086,20860.952083333388,-92451.59557291678,1.454427083333333,-2.831818326724798,-4.276482861516138,-5.610430355156641,-6.4269858982221635
linear_4,mix,21504,qasm simulator,1.0,1.5520833333333333,7.067708333333334,7.2765624999999945,86.8020833333334,-98.7760416666668,1741.4822916666665,-6961.951562500009,53937.95416666672,-307059.4958333338,1.5520833333333333,-3.304143908708735,-5.212415094537459,-6.22411193724502,-6.454645353277145
linear_4,mix,21504,qasm simulator,1.0,1.61328125,6.830729166666666,8.85963541666667,77.79895833333329,-42.631510416666465,1391.938020833333,-4742.160156249999,39766.881250000006,-216075.95963541654,1.61328125,-3.0340040882980306,-5.007613903271565,-6.129917558535087,-6.450303517279314
linear_4,mix,21504,qasm simulator,1.0,1.5989583333333335,6.906250000000002,8.601562499999993,77.87916666666669,-39.364583333333336,1347.1645833333337,-4391.8453125,37174.30833333331,-198355.0197916666,1.5989583333333335,-3.0881967884869534,-4.869597310993139,-6.107505603072049,-6.450436309471958
linear_4,mix,21504,qasm simulator,0.9999999999999999,1.6093749999999998,6.885416666666664,7.906250000000004,84.12083333333335,-92.44270833333323,1720.147916666667,-6977.745833333336,54373.27500000001,-311951.1781250001,1.6093750000000002,-3.235173833559429,-5.351914335086242,-6.233482369844891,-6.45437210341398
linear_4,mix,21504,qasm simulator,1.0,1.6106770833333337,6.9947916666666625,8.159635416666662,84.57916666666661,-84.53515625000017,1687.4781249999987,-6651.665364583328,52392.54999999995,-297914.8893229166,1.6106770833333337,-3.2264106262103676,-5.283837422842204,-6.21519082183897,-6.453892499846219
linear_4,mix,21504,qasm simulator,0.9999999999999999,1.5885416666666667,7.184895833333331,6.965104166666665,91.65520833333336,-127.80208333333336,1957.7442708333322,-8359.213020833338,63292.45208333338,-367796.7677083334,1.5885416666666672,-3.4652115072964986,-5.389713540032091,-6.275170878340239,-6.4567896180802835
