system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5
linear_4,mix,21504,qasm simulator,1.5833333333333335,-3.778130486028865,-5.419935826232107,-6.334874691051228,-6.460340984466127
linear_4,mix,21504,qasm simulator,1.6497395833333333,-3.1217909383193185,-5.263270176103994,-6.204080733073505,-6.4529696467354345
linear_4,mix,21504,qasm simulator,1.6302083333333335,-3.50172415655503,-5.53574598845614,-6.295141872591833,-6.457115616917184
linear_4,mix,21504,qasm simulator,1.5846354166666667,-3.567338850982183,-5.390665667693096,-6.296463391732205,-6.458286828601678
linear_4,mix,21504,qasm simulator,1.4739583333333333,-3.3492099775118365,-5.253422561273387,-6.228278402129741,-6.454848121143527
linear_4,mix,21504,qasm simulator,1.6250000000000004,-3.3345082495872815,-5.545136245040308,-6.285571139501223,-6.456075560433501
linear_4,mix,21504,qasm simulator,1.5403645833333333,-3.7493941979885026,-5.578705193001008,-6.33012723235272,-6.459063057220283
linear_4,mix,21504,qasm simulator,1.61328125,-3.522882982590541,-5.619898172587739,-6.306913165918312,-6.4573915557383055
linear_4,mix,21504,qasm simulator,1.609375,-3.398423873971433,-5.213692195561338,-6.258362267421738,-6.456994403862325
linear_4,mix,21504,qasm simulator,1.5234375,-3.696468171278345,-5.317658671917837,-6.30494039992872,-6.459077187928271
linear_4,mix,21504,qasm simulator,1.454427083333333,-2.831818326724798,-4.276482861516138,-5.610430355156641,-6.4269858982221635
linear_4,mix,21504,qasm simulator,1.5520833333333333,-3.304143908708735,-5.212415094537459,-6.22411193724502,-6.454645353277145
linear_4,mix,21504,qasm simulator,1.61328125,-3.0340040882980306,-5.007613903271565,-6.129917558535087,-6.450303517279314
linear_4,mix,21504,qasm simulator,1.5989583333333335,-3.0881967884869534,-4.869597310993139,-6.107505603072049,-6.450436309471958
linear_4,mix,21504,qasm simulator,1.6093750000000002,-3.235173833559429,-5.351914335086242,-6.233482369844891,-6.45437210341398
