system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,Moment 10,Moment 11,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_6,mix,474144,qasm simulator,1.0,1.822555205047319,13.083596214511031,22.32255520504731,300.41009463722366,-229.77151066598947,11904.436342802006,-59131.65350385696,761446.0232183532,-6067053.259233795,62395269.58030301,-572912792.4403467,1.822555205047319,-3.7350607920527077,-6.974975006599427,-8.884133197625433,-9.513789019024607,-9.801034678323635
linear_6,mix,474144,qasm simulator,1.0,1.8611987381703472,12.51104100946372,26.463722397476396,257.4921135646683,161.43552094593306,7983.93371521572,-20823.945239828452,379783.9216739106,-2280718.856934307,24685958.33500936,-197520675.45198816,1.8611987381703472,-3.2722571356473935,-6.041635678643254,-7.973559124751594,-8.813399968821955,-9.352183543667858
linear_6,mix,474144,qasm simulator,1.0,1.8753943217665616,13.1577287066246,24.38012618296535,286.3817034700318,-16.279934261323,9703.882011083906,-34489.43986161052,505109.560895536,-3386563.1045757183,34933234.28716727,-292436515.87978315,1.8753943217665616,-3.650655368609086,-6.404166923681828,-8.154316901908329,-8.976342478462676,-9.507352577912425
linear_6,mix,474144,qasm simulator,1.0,1.95031545741325,13.14037854889591,24.805205047318584,294.2145110410098,-71.01450773201356,10405.805614259569,-39662.69806644449,550178.2214265928,-3702668.9960950008,37188284.887639,-305580592.3563617,1.95031545741325,-3.692914763373531,-6.669050779856798,-8.170828200910805,-8.764396903157705,-9.409719997785007
linear_6,mix,474144,qasm simulator,1.0,1.9179810725552047,12.555205047318612,25.511041009463714,269.23343848580305,47.769129293419326,8981.979400900556,-30135.073047877584,463719.8062816969,-3074731.5399390887,32143258.248100106,-269257875.4754597,1.9179810725552047,-3.419803774157505,-6.41688614090431,-8.15540597627669,-9.008279351086342,-9.511966937764964
linear_6,mix,474144,qasm simulator,0.9999999999999999,2.000788643533123,12.935331230283907,26.283123028391163,288.80126182965273,-44.58348701771321,10668.651010223528,-44992.445871846314,636007.6041977651,-4779362.083255867,50032063.023080654,-449522493.5586909,2.0007886435331232,-3.5615770285008708,-6.824589209972958,-8.712727510802534,-9.435025223699977,-9.757669891606366
linear_6,mix,474144,qasm simulator,1.0,1.8824921135646688,12.559936908517347,26.51813880126183,261.29968454258625,129.24677262800293,8468.507966096293,-25674.617324053415,435243.7074815119,-2849640.326744145,30709299.459010582,-259184276.781002,1.8824921135646688,-3.302581960482635,-6.197255459544216,-8.2677211365799,-9.114079682872802,-9.57927199873977
linear_6,mix,474144,qasm simulator,1.0,1.9211356466876974,12.86119873817034,25.572555205047337,278.12933753943173,37.58409918157478,9360.340519977704,-32042.342100696344,491149.10544856195,-3311354.8572269585,34795850.32113654,-295468530.0259453,1.9211356466876974,-3.5140928995171863,-6.404999247899504,-8.228410936278177,-9.118446379347958,-9.574888150007759
linear_6,mix,474144,qasm simulator,1.0,1.9124605678233442,12.613564668769722,26.13170347003153,273.4447949526815,17.62610906443767,9880.76747210027,-40137.54752854919,593439.554101067,-4488020.221242389,47825212.138805896,-434843539.6711234,1.9124605678233442,-3.3803030079560994,-6.6506227167935394,-8.819605212457986,-9.555053257637919,-9.80222343427726
linear_6,mix,474144,qasm simulator,1.0,1.9345425867507886,13.145110410094631,25.573343848580404,277.56151419558387,111.95820409874041,8389.74101657196,-19391.287460751737,348189.3894671066,-1720512.8815268874,17810061.4300095,-116176604.66776836,1.9345425867507886,-3.613916392722766,-6.0144564089235075,-7.3678664118859665,-7.769144102364347,-7.7816523685563785
linear_6,mix,474144,qasm simulator,1.0,1.929810725552051,11.902208201892742,28.925078864353267,223.90851735015804,377.9473572169164,5449.077606935653,1446.7590776731254,144102.69582845908,10823.832217463401,1288474.0954268395,35733402.15968604,1.929810725552051,-2.8961152964056143,-5.2035184214266454,-6.243105944523359,-21.989104174649093,-10.762171474125534
linear_6,mix,474144,qasm simulator,1.0,1.925867507886435,13.402208201892744,24.257097791798135,306.31545741324953,-140.78907811431702,11383.722838920614,-48736.44227938216,655107.4522271982,-4785560.119233854,48841282.37463566,-426560072.08388925,1.925867507886435,-3.783840179659965,-6.8073453405232005,-8.471923703859872,-9.203525363790387,-9.662721764812686
linear_6,mix,474144,qasm simulator,1.0,1.7981072555205047,12.739747634069401,24.56782334384858,274.9337539432171,14.15056363195114,9591.805844173354,-36359.96144213309,544937.1119106625,-3949878.780908826,41958051.688621886,-373011109.20669967,1.7981072555205047,-3.4387627904069293,-6.430031854479315,-8.568240145252227,-9.414791887629526,-9.736620488332004
linear_6,mix,474144,qasm simulator,1.0,1.9582018927444798,13.014195583596203,25.5733438485804,288.5425867507894,-115.24320112064635,11259.348743685337,-54770.196085460055,738850.7241759972,-5992720.277030802,62857634.33226624,-587268309.6237514,1.9582018927444798,-3.600049148261851,-7.006781426113553,-9.11024089178689,-9.684079055950004,-9.856247148529025
linear_6,mix,474144,qasm simulator,0.9999999999999999,1.886435331230284,12.506309148264982,25.712933753943215,261.6088328075704,65.26067371114787,8845.986443664997,-31443.451626186546,485746.79008723324,-3415063.4292166987,36185732.327106714,-315740954.09126496,1.8864353312302844,-3.3561612394520255,-6.377456431704104,-8.485048242614514,-9.264067741497696,-9.6714344481731
linear_6,mix,474144,qasm simulator,1.0,1.9826498422712937,12.22082018927445,28.40220820189275,241.34700315457388,309.50238688756144,6430.895339220886,-5330.710790261315,220773.27433961027,-685872.4577679147,8603827.203816656,-36613576.40385326,1.9826498422712937,-3.1078299656056494,-5.574478572461592,-6.870901966609898,-7.058490316937002,-13.425205835826187
linear_6,mix,474144,qasm simulator,1.0,1.9834384858044167,12.634069400630906,27.77208201892744,259.17665615141976,217.0814950034194,7475.322030300561,-12385.197270815546,282028.16217648325,-1114988.0102445174,11832708.458038837,-57626897.781028435,1.9834384858044167,-3.31391667247978,-5.918559071388273,-7.1699161035450665,-7.239758894406004,-11.962049706323327
linear_6,mix,474144,qasm simulator,1.0,1.9132492113564665,11.884858044164044,31.572555205047358,204.57413249211365,623.4982484392577,3512.9969030268758,19791.505363511198,-5637.070627162937,1315542.6152363173,-9543403.433899926,128101525.84779488,1.9132492113564665,-2.643862402613484,-3.7659442859496,-46.84528494518681,-10.990493598483432,-10.27836313459008
linear_6,mix,474144,qasm simulator,1.0,1.9787066246056784,12.04258675078865,32.71372239747635,212.64984227129355,598.7455902142016,4415.757342167111,11893.340616428712,96061.70389995456,303951.7297889183,1407283.6185129231,17205862.418989748,1.9787066246056784,-2.6437165972512684,-4.112965162396312,-4.962768419381601,-61.01335551419457,-11.678697421295968
