system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_6,mix,474144,qasm simulator,1.822555205047319,-3.7350607920527077,-6.974975006599427,-8.884133197625433,-9.513789019024607,-9.801034678323635
linear_6,mix,474144,qasm simulator,1.8611987381703472,-3.2722571356473935,-6.041635678643254,-7.973559124751594,-8.813399968821955,-9.352183543667858
linear_6,mix,474144,qasm simulator,1.8753943217665616,-3.650655368609086,-6.404166923681828,-8.154316901908329,-8.976342478462676,-9.507352577912425
linear_6,mix,474144,qasm simulator,1.95031545741325,-3.692914763373531,-6.669050779856798,-8.170828200910805,-8.764396903157705,-9.409719997785007
linear_6,mix,474144,qasm simulator,1.9179810725552047,-3.419803774157505,-6.41688614090431,-8.15540597627669,-9.008279351086342,-9.511966937764964
linear_6,mix,474144,qasm simulator,2.0007886435331232,-3.5615770285008708,-6.824589209972958,-8.712727510802534,-9.435025223699977,-9.757669891606366
linear_6,mix,474144,qasm simulator,1.8824921135646688,-3.302581960482635,-6.197255459544216,-8.2677211365799,-9.114079682872802,-9.57927199873977
linear_6,mix,474144,qasm simulator,1.9211356466876974,-3.5140928995171863,-6.404999247899504,-8.228410936278177,-9.118446379347958,-9.574888150007759
linear_6,mix,474144,qasm simulator,1.9124605678233442,-3.3803030079560994,-6.6506227167935394,-8.819605212457986,-9.555053257637919,-9.80222343427726
linear_6,mix,474144,qasm simulator,1.9345425867507886,-3.613916392722766,-6.0144564089235075,-7.3678664118859665,-7.769144102364347,-7.7816523685563785
linear_6,mix,474144,qasm simulator,1.929810725552051,-2.8961152964056143,-5.2035184214266454,-6.243105944523359,X,-10.762171474125534
linear_6,mix,474144,qasm simulator,1.925867507886435,-3.783840179659965,-6.8073453405232005,-8.471923703859872,-9.203525363790387,-9.662721764812686
linear_6,mix,474144,qasm simulator,1.7981072555205047,-3.4387627904069293,-6.430031854479315,-8.568240145252227,-9.414791887629526,-9.736620488332004
linear_6,mix,474144,qasm simulator,1.9582018927444798,-3.600049148261851,-7.006781426113553,-9.11024089178689,-9.684079055950004,-9.856247148529025
linear_6,mix,474144,qasm simulator,1.8864353312302844,-3.3561612394520255,-6.377456431704104,-8.485048242614514,-9.264067741497696,-9.6714344481731
linear_6,mix,474144,qasm simulator,1.9826498422712937,-3.1078299656056494,-5.574478572461592,-6.870901966609898,-7.058490316937002,-13.425205835826187
linear_6,mix,474144,qasm simulator,1.9834384858044167,-3.31391667247978,-5.918559071388273,-7.1699161035450665,-7.239758894406004,-11.962049706323327
linear_6,mix,474144,qasm simulator,1.9132492113564665,-2.643862402613484,-3.7659442859496,X,-10.990493598483432,-10.27836313459008
linear_6,mix,474144,qasm simulator,1.9787066246056784,-2.6437165972512684,-4.112965162396312,-4.962768419381601,X,-11.678697421295968
