system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,Moment 10,Moment 11,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_6,mix,469152,qasm simulator,1.0,2.086750788643533,13.211356466876968,24.86750788643527,297.39116719242855,-214.19619961820183,11793.47485241294,-60536.8706865298,776189.2664765192,-6350383.102467,65586739.97597079,-611979771.1427003,2.086750788643533,-3.8768858966726536,-7.15259419240636,-9.009575787371636,-9.6543826588885,-9.845140554525432
linear_6,mix,469152,qasm simulator,1.0,2.188485804416404,12.520504731861205,32.65694006309144,232.88012618296494,413.90038157259465,6100.812694214909,-6157.015030861367,263557.35000278475,-1427605.6959206916,18257151.34938425,-153091591.6663256,2.188485804416404,-2.998963823690635,-5.395598700370239,-8.060165962808725,-9.614215910788296,-9.81558953754357
linear_6,mix,469152,qasm simulator,1.0,2.2239747634069404,12.922712933753948,30.037854889589884,273.03470031545726,64.53699516659614,9662.477513818492,-38668.75893307113,572860.0157678575,-4307255.153686083,45495569.13525541,-410782033.29800165,2.2239747634069404,-3.463688779231172,-6.891940631679876,-8.80534288493699,-9.487861612248631,-9.775641937762877
linear_6,mix,469152,qasm simulator,1.0,2.1490536277602525,12.512618296529975,29.19164037854886,247.29968454258693,205.51009215508353,7419.975629147263,-19091.140420294018,359110.59973463626,-2257385.5214836816,24770299.739397213,-207445550.9907289,2.1490536277602525,-3.3049421038068587,-6.116208817422164,-8.10362253756384,-9.163276580160366,-9.564542695547349
linear_6,mix,469152,qasm simulator,0.9999999999999999,2.244479495268139,12.257097791798111,35.102523659306,224.64984227129304,449.58905917872767,6520.586268150324,-14007.359286738421,382123.13238079404,-2856344.174131639,34769821.65171243,-333691148.28157353,2.2444794952681395,-2.6637788144802097,-5.659314276595096,-9.83715026505872,-10.478192189489892,-10.429484950859795
linear_6,mix,469152,qasm simulator,1.0,2.2066246056782335,12.865930599369083,31.6277602523659,242.70662460567806,404.7524200863799,5742.997391245916,2217.4293169301236,145498.97004984668,47995.442548752624,1210699.069690843,36039656.99049299,2.2066246056782335,-3.2636323243574528,-5.284369045891767,-6.042366609885665,-20.492196107554058,-10.809568588580651
linear_6,mix,469152,qasm simulator,1.0,2.2397476340694005,13.11671924290221,29.604100946372302,277.3911671924287,66.0204302676633,9717.104989502317,-38589.17827104671,581067.9430577072,-4425264.829662531,47393698.14209081,-434466992.05673325,2.2397476340694005,-3.5991444486291573,-6.735054277184846,-8.869887011663897,-9.65459765272984,-9.832807280351732
linear_6,mix,469152,qasm simulator,1.0,2.123028391167192,12.534700315457425,30.25867507886437,239.70347003154552,280.9185587341964,6957.130160657153,-16043.469902173681,346175.7542154996,-2250745.8688923814,25753415.713374797,-225265648.17217293,2.123028391167192,-3.181899852771956,-5.840904394197336,-8.436736826807758,-9.530885792530714,-9.760492610686558
linear_6,mix,469152,qasm simulator,1.0,2.1940063091482656,12.59779179810726,31.627760252365906,246.37854889589883,308.1395481602848,7169.493981186905,-15017.197488074278,347231.23525470955,-2165290.202392924,25145079.163226202,-216302364.78597757,2.1940063091482656,-3.140789522198256,-5.948468236962265,-8.27443758586176,-9.503510213294776,-9.744592162112726
linear_6,mix,469152,qasm simulator,1.0,2.208201892744479,12.659305993690843,32.85962145110408,233.13880126182994,462.0826281799591,5569.466794735046,1314.3534740178316,180775.04901198443,-487022.31221209606,8192288.474865681,-45903321.418712564,2.208201892744479,-3.056358204662807,-5.088623054590705,-6.828293388809743,-8.114753094483167,-8.437454821454352
