system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,Moment 10,Moment 11,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_4,mix,471600,qasm simulator,0.9999999999999999,1.9279705573080967,12.754994742376446,25.779705573080978,268.19873817034636,105.92922409908293,8314.623286524073,-21487.74421790899,368824.9803784464,-2024961.4537674363,21058025.00788548,-152855793.33183455,1.9279705573080972,-3.4706056177581326,-6.138362368266099,-7.607011614950046,-8.220486804649134,-8.611636774306858
linear_4,mix,471600,qasm simulator,1.0,1.9190325972660356,13.222923238696104,23.851735015772896,301.6098843322814,-157.69576748354015,11388.066229941433,-51108.40157020779,679815.0768666276,-5140741.0339687895,52801731.40683239,-472148128.0975962,1.9190325972660356,-3.7589416144903667,-6.853377277975115,-8.617429058762056,-9.367531031793146,-9.731489567300278
linear_4,mix,471600,qasm simulator,1.0,2.0262881177707674,12.404837013669828,29.942166140904334,246.69505783385878,281.8661248465465,7438.945905470951,-17187.60363388968,372786.4709052255,-2385303.5145621886,27431093.981721126,-237533431.66383693,2.0262881177707674,-3.074224541430795,-5.927254092473794,-8.413794627506999,-9.46717583377475,-9.750910575371767
linear_4,mix,471600,qasm simulator,1.0,1.9563617245005256,12.590956887486858,27.992113564668756,255.1388012618294,239.57430083966767,7347.771254525949,-12644.291829186692,295965.0110274839,-1363446.8476316426,15168794.03430483,-98229801.42342594,1.9563617245005256,-3.2547222565721037,-5.8373854563740535,-7.399486845747575,-7.8828875055274095,-7.926013866988896
linear_4,mix,471600,qasm simulator,1.0,1.9300736067297581,12.856992639327025,25.431650893796014,279.7718191377501,-9.241283481738217,9883.145780347051,-38338.611425359864,557062.2273037274,-4001075.058870706,41798653.15861605,-366225767.4162543,1.9300736067297581,-3.533835353265316,-6.580124392010147,-8.508041580276272,-9.267031961798178,-9.675231874086986
linear_4,mix,471600,qasm simulator,0.9999999999999999,1.8217665615141962,12.984227129337542,22.130914826498437,286.465825446898,-118.07007661108553,10312.037441646704,-43326.932882852394,590531.5729560741,-4341622.159470604,44788175.815543935,-395950691.53915125,1.8217665615141967,-3.722640779070488,-6.537141427364064,-8.480434182809518,-9.3075204370632,-9.697196202588149
linear_4,mix,471600,qasm simulator,1.0,1.9100946372239747,12.970557308096744,23.510515247108348,295.2124079915881,-175.44884824374674,11398.2246539091,-53692.00461617616,705347.419402387,-5482652.354234621,56408628.11340626,-511781799.645617,1.9100946372239747,-3.7057120745280803,-6.9333829165657,-8.760716528940442,-9.448087554910261,-9.769599530484072
linear_4,mix,471600,qasm simulator,1.0,1.8349106203995793,12.967402733964239,22.866456361724527,285.62460567823405,-69.27908398211778,9850.899845005142,-37022.84864087409,521570.74249212944,-3576086.391760571,36667704.29353807,-310807448.9434413,1.8349106203995793,-3.6741901908742483,-6.45373973988258,-8.155362265004797,-9.058540253647719,-9.541135789859936
linear_4,mix,471600,qasm simulator,1.0,1.8622502628811777,12.7055730809674,24.3638275499474,273.8748685594111,25.473082521379332,9085.562447733122,-29428.703751474182,449507.5710291407,-2821359.806544198,28993982.550611462,-230812041.63408715,1.8622502628811777,-3.5067162547534054,-6.3253563610210675,-7.974389662341894,-8.650893553730228,-9.24422540871388
linear_4,mix,471600,qasm simulator,1.0,1.8217665615141958,13.059936908517338,21.817560462670855,297.70031545741284,-182.1336032074084,11006.809875468836,-47756.46805713096,624549.1777980353,-4537389.230993261,45768061.583479784,-396717893.61289835,1.8217665615141958,-3.7673455528670856,-6.724491819988936,-8.367850824133328,-9.120036939220368,-9.61384177262884
linear_4,mix,471600,qasm simulator,1.0,1.8885383806519453,12.254468980021025,27.181913774973708,245.99894847528915,210.5211936618454,7464.2596546601535,-17815.63701505111,354046.3955776093,-2110540.8852330176,23379643.05158212,-188739111.80205998,1.8885383806519453,-3.148465746553224,-5.9241865355435,-8.049677746288094,-8.910594105706082,-9.425490922414568
linear_4,mix,471600,qasm simulator,1.0,2.0052576235541535,12.466876971608833,30.594111461619367,238.381703470032,390.68906984092445,6432.493604231868,-7081.824150190231,280520.23056017584,-1503059.2805217009,19216963.72913385,-159255994.5936669,2.0052576235541535,-3.022619999300595,-5.331763955214969,-8.045256061394715,-9.50722507376044,-9.787955851381032
linear_4,mix,471600,qasm simulator,1.0,2.013669821240799,12.915878023133562,27.70241850683487,276.0578338590956,128.55390488622137,8779.358965327303,-23606.957514257767,406757.32995199435,-2337379.107452371,24537513.778376896,-185478914.77201024,2.013669821240799,-3.4455972706305826,-6.293360577776063,-7.809586982625593,-8.434843640652637,-8.968062200069152
linear_4,mix,471600,qasm simulator,1.0,2.018401682439537,12.289169295478438,29.49894847528917,245.69400630914902,242.22207632100992,7824.334856231202,-23281.203583989874,443047.15122732514,-3213822.7795001063,36552648.5350639,-336499335.5054294,2.018401682439537,-3.0635237847072885,-6.105540903626893,-8.922152272443762,-9.854904226904853,-9.94550129336594
linear_4,mix,471600,qasm simulator,1.0,1.8343848580441637,13.023133543638272,21.52944269190326,299.21240799158744,-224.61518080527242,11401.372041759394,-52851.33354657375,677242.6022266785,-5119998.350370401,51834049.62247396,-460434612.1263804,1.8343848580441637,-3.7945456107947027,-6.839970931360776,-8.5335984939296,-9.282485026894468,-9.69459658939699
linear_4,mix,471600,qasm simulator,1.0,1.8212407991587802,13.339642481598323,20.18506834910621,318.86961093585694,-374.0033876707433,13041.209876159495,-67734.20240728371,827791.7572900215,-6562086.629532363,66112633.63262365,-599877675.6354519,1.8212407991587802,-3.9637974762556745,-7.094515409921307,-8.735225702757175,-9.40089455393414,-9.764801067359404
linear_4,mix,471600,qasm simulator,1.0,1.9458464773922186,12.760252365930612,28.36750788643535,248.30599369085223,356.77966931360726,5984.656529554078,2679.4395243791782,132621.45348283884,345566.72852619615,-2448700.9243695815,81763583.20349741,1.9458464773922186,-3.2715831221452274,-5.226842403363057,-5.803179792061023,-14.643644329465243,-10.59034031001702
linear_4,mix,471600,qasm simulator,1.0,1.9022082018927444,13.03154574132493,24.576235541535258,285.48370136698185,-33.22417678047081,10022.38831305391,-38931.70825628194,559669.3048535314,-4011494.707082175,41827412.84400503,-366455013.69687116,1.9022082018927444,-3.6271693124733586,-6.520166413404537,-8.452845990766745,-9.274799866061738,-9.674818104672278
linear_4,mix,471600,qasm simulator,1.0,1.9216614090431123,12.93796004206099,25.233964248159836,283.7570977917983,-27.356246730172604,10121.707465480125,-40221.56613727849,579218.1251464055,-4225070.248613093,44283282.584264524,-392431806.14136904,1.9216614090431123,-3.5661452590755185,-6.61257577034398,-8.545082882297763,-9.368043393011488,-9.718653535480813
linear_4,mix,471600,qasm simulator,1.0,1.8270241850683488,13.025236593059947,22.898527865404823,291.3512092534173,-104.25446639005932,10454.75019065001,-42406.947428081134,582644.074807898,-4162338.036000182,42658664.48693657,-369396024.2904173,1.8270241850683488,-3.6791527012938583,-6.591769424000939,-8.358716753510514,-9.160065202307372,-9.623121405821031
linear_4,mix,471600,qasm simulator,1.0,1.827024185068349,12.767613038906415,22.398002103049418,291.2986330178762,-212.32936810098843,11579.752876153167,-57721.54451109278,746717.3316625201,-5977882.322130021,61649490.258588895,-567926892.6671202,1.827024185068349,-3.6478544994924778,-6.994691559605411,-8.916644553926341,-9.540739315597513,-9.808087110556901
linear_4,mix,471600,qasm simulator,1.0,1.8543638275499474,13.062039957939001,22.264458464773906,297.99894847528935,-193.7399237515102,11286.062890041138,-51591.36414438867,673343.0871136691,-5105903.729468368,52165076.8146905,-466324227.8286219,1.8543638275499474,-3.769057985266729,-6.817020928816222,-8.575576409008747,-9.357225723854327,-9.724406809943641
linear_4,mix,471600,qasm simulator,1.0,1.9363827549947425,12.827549947423764,25.7397476340694,282.21976866456384,-23.09965398103157,10136.539810886723,-40552.247088450546,581652.7730018864,-4243762.976186441,44313188.77041415,-391712939.8118255,1.9363827549947425,-3.5053713408136478,-6.698951360860642,-8.552350494136887,-9.333073868494992,-9.70529919599273
linear_4,mix,471600,qasm simulator,1.0,1.9942166140904312,13.066246056782331,28.149842271293377,275.29442691903296,177.25910242264922,8581.299306983645,-21914.92389740992,409000.7136790866,-2460362.022688357,27019334.215487152,-218973405.5844433,1.9942166140904312,-3.4373775641538895,-6.10433167686136,-7.985100651979618,-8.971064445474553,-9.471595119042224
linear_4,mix,471600,qasm simulator,1.0,1.9479495268138804,12.809674027339655,26.66929547844374,271.2860147213459,89.64463385702332,9137.198929252012,-31558.681677225253,504780.6993157332,-3566807.0785964476,38440172.388536796,-339546503.5100722,1.9479495268138804,-3.4329330136115694,-6.335793389101006,-8.55378600247631,-9.411837449767157,-9.73034631376481
linear_4,mix,471600,qasm simulator,1.0,1.8911671924290219,12.107255520504731,27.447423764458456,237.99474237644569,264.8205803587613,6771.61168291723,-11630.776034733151,287810.57140267314,-1469362.1633279268,16825542.7892939,-123673164.599223,1.8911671924290219,-3.075375996437337,-5.676164917100544,-7.680867160583577,-8.487684299454525,-8.942970661335504
linear_4,mix,471600,qasm simulator,1.0,1.9337539432176656,12.98633017875919,24.68454258675076,288.58990536277645,-73.2268081822082,10494.898324409472,-43585.88653029658,606538.7417646387,-4461744.30294676,46231238.20930107,-409050008.549914,1.9337539432176656,-3.6392547057435425,-6.699354491695721,-8.551246767781809,-9.314780236941782,-9.706311287938142
linear_4,mix,471600,qasm simulator,1.0,1.891167192429022,12.983175604626712,24.01945320715038,287.9442691903261,-52.84741754855035,10068.00320522227,-37940.90579875298,539561.4013175432,-3704573.586079411,38028725.64582836,-321654527.22972494,1.891167192429022,-3.6465718330064316,-6.5369545243227964,-8.230423200942344,-9.021445205924744,-9.539409898471582
linear_4,mix,471600,qasm simulator,1.0,1.960042060988433,12.48475289169296,26.922187171398498,263.6288117770776,97.30754766825831,8864.553655098724,-30249.99120276136,484170.1286480326,-3383044.7083282224,36302640.65326157,-318028212.30217505,1.960042060988433,-3.3148965645826256,-6.414891115338612,-8.475933294498784,-9.345541306772933,-9.700402527702687
linear_4,mix,471600,qasm simulator,1.0,1.9216614090431128,12.341745531019981,28.05625657202944,242.2744479495268,292.2058424370507,6798.353156329566,-11071.257596791165,298656.99869695917,-1640224.7466858537,19668523.35264704,-159711625.20851764,1.9216614090431128,-3.131505809704475,-5.575310982380797,-7.820697833588037,-9.230986582738371,-9.637817642088635
linear_4,mix,471600,qasm simulator,1.0,1.923764458464774,12.749737118822297,25.435856992639323,271.72975814931624,43.496410312193696,9224.086313085023,-33599.93754823811,515885.5905781776,-3725110.9926539995,39916621.66203933,-356898089.2801957,1.923764458464774,-3.4936954944728584,-6.369144998977797,-8.538959908893471,-9.500698572426902,-9.771864355274685
linear_4,mix,471600,qasm simulator,1.0,1.878548895899054,12.765509989484757,24.71556256572025,277.1619348054681,-28.265256173174755,9943.354828869706,-40739.67901647044,583762.423068046,-4357970.321131461,45800942.01123591,-411373921.3330122,1.878548895899054,-3.512345572078972,-6.590895941542852,-8.675086260352781,-9.440041319570089,-9.75233767276356
linear_4,mix,471600,qasm simulator,1.0,1.9726603575184014,12.418506834910621,27.002103049421617,264.6445846477399,32.713700382797704,9558.458362326513,-39124.311304840456,574581.6951320806,-4343691.743160901,45948071.58472323,-415827983.55909413,1.9726603575184014,-3.2970696452980546,-6.755945868320396,-8.837346253848306,-9.483860776540215,-9.777977092466083
linear_4,mix,471600,qasm simulator,1.0,1.9016824395373293,12.769716088328076,25.03943217665615,273.8517350157729,13.068087520006985,9320.60283618143,-33529.66910900121,496327.3697303625,-3393230.757576935,35176002.91789292,-298394243.675919,1.9016824395373293,-3.5104156293603324,-6.446665481665427,-8.28169537611559,-9.040843142222958,-9.550753277509925
linear_4,mix,471600,qasm simulator,1.0,1.9689800210304942,12.945320715036805,25.75552050473188,284.2429022082021,-25.25874500784716,10086.685584327173,-39501.3838488221,565456.7831844704,-4047857.5155599206,42012488.78587803,-366419929.18933153,1.9689800210304942,-3.575251585006525,-6.664093574382996,-8.45209851375533,-9.233416358488281,-9.662108218088896
linear_4,mix,471600,qasm simulator,0.9999999999999999,1.9542586750788644,12.899053627760257,26.920609884332322,274.6445846477396,119.04366935504716,8742.503676883192,-24095.633642056804,411557.5663223163,-2425574.1969743962,25571491.793284886,-197950206.9450718,1.9542586750788649,-3.446793647796237,-6.231876176883754,-7.867329853536633,-8.576734086806333,-9.127252196000045
linear_4,mix,471600,qasm simulator,1.0,1.9369085173501577,12.643533123028384,26.760252365930562,262.3059936908513,130.8140873231712,8281.895360917017,-23278.632425637712,397874.52206216083,-2419343.2992402134,25588205.063178394,-203220095.30376732,1.9369085173501577,-3.360167525504876,-6.1832089108137795,-7.984797599192554,-8.70333352669057,-9.268839896789432
linear_4,mix,471600,qasm simulator,1.0,1.9484752891692954,12.890641430073604,24.917981072555246,284.4952681388012,-51.083821541235366,10095.845401694514,-39815.36971194447,560245.3475222997,-3984781.72096263,41046339.67663294,-355503665.83154076,1.9484752891692954,-3.6072543938835206,-6.660934700926842,-8.372628455863817,-9.180218048162105,-9.62638777494318
linear_4,mix,471600,qasm simulator,0.9999999999999999,1.9279705573080965,12.899053627760248,26.5231335436383,270.90956887486885,134.01455817832513,8462.119865183817,-22348.9309023946,394625.49174291134,-2308331.208180295,24632802.43984632,-191476521.38074246,1.927970557308097,-3.453911609533229,-6.097628385469868,-7.8561771142769,-8.630140936808463,-9.18579491501445
linear_4,mix,471600,qasm simulator,1.0,1.9095688748685595,12.910620399579384,25.193480546792845,281.4731861198746,-12.351851564079023,9954.117709759586,-39067.130012656315,569176.7154425635,-4156867.707460879,43762550.564422995,-389145435.47830725,1.9095688748685595,-3.548606579521116,-6.552992531923403,-8.570739579056537,-9.396383945412557,-9.73042179041726
linear_4,mix,471600,qasm simulator,1.0,1.9374342797055732,12.58254468980022,28.268664563617264,247.20189274447947,285.4005350862204,7102.030049318639,-13894.962783104509,337077.1330895322,-2056941.4603384617,24342032.772221852,-209300889.2058746,1.9374342797055732,-3.2114599257545304,-5.594577518469372,-8.223988636450121,-9.542077559284554,-9.798305781990187
linear_4,mix,471600,qasm simulator,1.0,1.9332281808622507,12.66561514195584,25.156151419558388,278.63617245005275,-31.582407421796447,10014.970865801395,-40570.69889011469,578712.3384752707,-4258650.603614592,44504911.59434905,-395634377.53796834,1.9332281808622507,-3.5010611674211423,-6.680680810915202,-8.57563704271002,-9.365547991339138,-9.718838818363894
linear_4,mix,471600,qasm simulator,0.9999999999999999,1.9437434279705572,12.49526813880127,26.409568874868558,261.18927444794946,106.95000595691388,8609.138184275238,-28272.578664062854,462175.2885160477,-3189647.6230548634,34413113.852640845,-300559054.2262745,1.9437434279705577,-3.3477143289261386,-6.276624078542658,-8.432255394387802,-9.343542166730334,-9.694058822906538
linear_4,mix,471600,qasm simulator,1.0,1.8958990536277602,12.88222923238697,21.0515247108307,306.1440588853846,-380.1910615219653,13134.781714520568,-73638.43063821859,899263.7027626862,-7496180.284669655,76500391.283076,-715049743.8641574,1.8958990536277602,-3.869811039046576,-7.320089294330136,-9.066291057380123,-9.60734218067303,-9.839990991267271
linear_4,mix,471600,qasm simulator,1.0,1.987907465825447,12.32492113564669,30.31913774973707,239.21661409043105,393.0368836537114,6309.785153415005,-4001.2393012971697,238470.14322779578,-954633.2486222656,12830564.099274378,-87140693.02184136,1.987907465825447,-2.978860676117263,-5.356939344260888,-7.339626573391125,-8.486701182795844,-8.996483215764568
linear_4,mix,471600,qasm simulator,1.0,1.8648790746582544,12.88853838065194,23.674553101997855,288.83596214511044,-115.90291526161263,10838.489243310874,-48364.42682493057,659042.087365186,-5059289.746525279,52698630.18229475,-478242529.6731557,1.8648790746582544,-3.619242784075058,-6.769335367195327,-8.733773614515052,-9.496785513839125,-9.777664297726181
linear_4,mix,471600,qasm simulator,1.0,1.891167192429022,12.68980021030494,23.825972660357525,274.56256572029474,-1.3145845959380504,9037.96778777502,-29088.875389141962,431698.2603769728,-2616793.855161533,26282843.658394247,-201040232.5235736,1.891167192429022,-3.5767773755411585,-6.351742418748602,-7.800864764942876,-8.381467222514082,-8.88522784315996
linear_4,mix,471600,qasm simulator,1.0,2.0231335436382754,12.87697160883279,27.462670872765514,271.20189274448006,149.91502851548572,8271.650196232786,-18929.306268226872,348451.2602129426,-1736329.740040296,17996490.17269874,-117745123.15343025,2.0231335436382754,-3.4634854269720496,-6.151546907214126,-7.476836750910761,-7.785545868446269,-7.786577132097069
linear_4,mix,471600,qasm simulator,1.0,1.912197686645636,12.842271293375394,26.95005257623549,270.3880126182971,105.69968609656357,8951.080677902513,-29050.45545092108,472347.60444771353,-3181617.8092927397,33991864.37029274,-290455267.701208,1.912197686645636,-3.3855706497491234,-6.315142758852626,-8.360238727248063,-9.168928184654927,-9.614841071883397
linear_4,mix,471600,qasm simulator,1.0,1.960042060988433,12.698212407991583,28.146161934805445,262.2933753943216,169.29932194785903,8503.373842646564,-26083.22182854794,456358.36199788575,-3136404.942060247,34502207.10497346,-303518431.10726154,1.960042060988433,-3.28183049800968,-6.207551498871282,-8.528054709668329,-9.443715197319154,-9.744580796811146
linear_4,mix,471600,qasm simulator,1.0,1.9621451104100944,11.964248159831763,30.994742376445824,210.3312302839117,589.2303046313704,3557.2924717852334,22218.46754345523,-56272.76048603902,2050358.6303116519,-18813600.49740975,236736671.477823,1.9621451104100944,-2.755469927423105,-4.0519643565276,-43.92292352978135,-11.343225833656437,-10.270053470420358
linear_4,mix,471600,qasm simulator,1.0,1.9631966351209251,12.641430073606717,26.404837013669784,271.67297581493085,18.017855200384393,9815.263838312676,-40793.60452138356,599919.6002393125,-4622985.733423231,49374033.86532423,-454168097.483684,1.9631966351209251,-3.4161061599147184,-6.658731548216791,-8.916092131809485,-9.640266824584318,-9.838241262552355
