system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_4,mix,471600,qasm simulator,1.9279705573080972,-3.4706056177581326,-6.138362368266099,-7.607011614950046,-8.220486804649134,-8.611636774306858
linear_4,mix,471600,qasm simulator,1.9190325972660356,-3.7589416144903667,-6.853377277975115,-8.617429058762056,-9.367531031793146,-9.731489567300278
linear_4,mix,471600,qasm simulator,2.0262881177707674,-3.074224541430795,-5.927254092473794,-8.413794627506999,-9.46717583377475,-9.750910575371767
linear_4,mix,471600,qasm simulator,1.9563617245005256,-3.2547222565721037,-5.8373854563740535,-7.399486845747575,-7.8828875055274095,-7.926013866988896
linear_4,mix,471600,qasm simulator,1.9300736067297581,-3.533835353265316,-6.580124392010147,-8.508041580276272,-9.267031961798178,-9.675231874086986
linear_4,mix,471600,qasm simulator,1.8217665615141967,-3.722640779070488,-6.537141427364064,-8.480434182809518,-9.3075204370632,-9.697196202588149
linear_4,mix,471600,qasm simulator,1.9100946372239747,-3.7057120745280803,-6.9333829165657,-8.760716528940442,-9.448087554910261,-9.769599530484072
linear_4,mix,471600,qasm simulator,1.8349106203995793,-3.6741901908742483,-6.45373973988258,-8.155362265004797,-9.058540253647719,-9.541135789859936
linear_4,mix,471600,qasm simulator,1.8622502628811777,-3.5067162547534054,-6.3253563610210675,-7.974389662341894,-8.650893553730228,-9.24422540871388
linear_4,mix,471600,qasm simulator,1.8217665615141958,-3.7673455528670856,-6.724491819988936,-8.367850824133328,-9.120036939220368,-9.61384177262884
linear_4,mix,471600,qasm simulator,1.8885383806519453,-3.148465746553224,-5.9241865355435,-8.049677746288094,-8.910594105706082,-9.425490922414568
linear_4,mix,471600,qasm simulator,2.0052576235541535,-3.022619999300595,-5.331763955214969,-8.045256061394715,-9.50722507376044,-9.787955851381032
linear_4,mix,471600,qasm simulator,2.013669821240799,-3.4455972706305826,-6.293360577776063,-7.809586982625593,-8.434843640652637,-8.968062200069152
linear_4,mix,471600,qasm simulator,2.018401682439537,-3.0635237847072885,-6.105540903626893,-8.922152272443762,-9.854904226904853,-9.94550129336594
linear_4,mix,471600,qasm simulator,1.8343848580441637,-3.7945456107947027,-6.839970931360776,-8.5335984939296,-9.282485026894468,-9.69459658939699
linear_4,mix,471600,qasm simulator,1.8212407991587802,-3.9637974762556745,-7.094515409921307,-8.735225702757175,-9.40089455393414,-9.764801067359404
linear_4,mix,471600,qasm simulator,1.9458464773922186,-3.2715831221452274,-5.226842403363057,-5.803179792061023,-14.643644329465243,-10.59034031001702
linear_4,mix,471600,qasm simulator,1.9022082018927444,-3.6271693124733586,-6.520166413404537,-8.452845990766745,-9.274799866061738,-9.674818104672278
linear_4,mix,471600,qasm simulator,1.9216614090431123,-3.5661452590755185,-6.61257577034398,-8.545082882297763,-9.368043393011488,-9.718653535480813
linear_4,mix,471600,qasm simulator,1.8270241850683488,-3.6791527012938583,-6.591769424000939,-8.358716753510514,-9.160065202307372,-9.623121405821031
linear_4,mix,471600,qasm simulator,1.827024185068349,-3.6478544994924778,-6.994691559605411,-8.916644553926341,-9.540739315597513,-9.808087110556901
linear_4,mix,471600,qasm simulator,1.8543638275499474,-3.769057985266729,-6.817020928816222,-8.575576409008747,-9.357225723854327,-9.724406809943641
linear_4,mix,471600,qasm simulator,1.9363827549947425,-3.5053713408136478,-6.698951360860642,-8.552350494136887,-9.333073868494992,-9.70529919599273
linear_4,mix,471600,qasm simulator,1.9942166140904312,-3.4373775641538895,-6.10433167686136,-7.985100651979618,-8.971064445474553,-9.471595119042224
linear_4,mix,471600,qasm simulator,1.9479495268138804,-3.4329330136115694,-6.335793389101006,-8.55378600247631,-9.411837449767157,-9.73034631376481
linear_4,mix,471600,qasm simulator,1.8911671924290219,-3.075375996437337,-5.676164917100544,-7.680867160583577,-8.487684299454525,-8.942970661335504
linear_4,mix,471600,qasm simulator,1.9337539432176656,-3.6392547057435425,-6.699354491695721,-8.551246767781809,-9.314780236941782,-9.706311287938142
linear_4,mix,471600,qasm simulator,1.891167192429022,-3.6465718330064316,-6.5369545243227964,-8.230423200942344,-9.021445205924744,-9.539409898471582
linear_4,mix,471600,qasm simulator,1.960042060988433,-3.3148965645826256,-6.414891115338612,-8.475933294498784,-9.345541306772933,-9.700402527702687
linear_4,mix,471600,qasm simulator,1.9216614090431128,-3.131505809704475,-5.575310982380797,-7.820697833588037,-9.230986582738371,-9.637817642088635
linear_4,mix,471600,qasm simulator,1.923764458464774,-3.4936954944728584,-6.369144998977797,-8.538959908893471,-9.500698572426902,-9.771864355274685
linear_4,mix,471600,qasm simulator,1.878548895899054,-3.512345572078972,-6.590895941542852,-8.675086260352781,-9.440041319570089,-9.75233767276356
linear_4,mix,471600,qasm simulator,1.9726603575184014,-3.2970696452980546,-6.755945868320396,-8.837346253848306,-9.483860776540215,-9.777977092466083
linear_4,mix,471600,qasm simulator,1.9016824395373293,-3.5104156293603324,-6.446665481665427,-8.28169537611559,-9.040843142222958,-9.550753277509925
linear_4,mix,471600,qasm simulator,1.9689800210304942,-3.575251585006525,-6.664093574382996,-8.45209851375533,-9.233416358488281,-9.662108218088896
linear_4,mix,471600,qasm simulator,1.9542586750788649,-3.446793647796237,-6.231876176883754,-7.867329853536633,-8.576734086806333,-9.127252196000045
linear_4,mix,471600,qasm simulator,1.9369085173501577,-3.360167525504876,-6.1832089108137795,-7.984797599192554,-8.70333352669057,-9.268839896789432
linear_4,mix,471600,qasm simulator,1.9484752891692954,-3.6072543938835206,-6.660934700926842,-8.372628455863817,-9.180218048162105,-9.62638777494318
linear_4,mix,471600,qasm simulator,1.927970557308097,-3.453911609533229,-6.097628385469868,-7.8561771142769,-8.630140936808463,-9.18579491501445
linear_4,mix,471600,qasm simulator,1.9095688748685595,-3.548606579521116,-6.552992531923403,-8.570739579056537,-9.396383945412557,-9.73042179041726
linear_4,mix,471600,qasm simulator,1.9374342797055732,-3.2114599257545304,-5.594577518469372,-8.223988636450121,-9.542077559284554,-9.798305781990187
linear_4,mix,471600,qasm simulator,1.9332281808622507,-3.5010611674211423,-6.680680810915202,-8.57563704271002,-9.365547991339138,-9.718838818363894
linear_4,mix,471600,qasm simulator,1.9437434279705577,-3.3477143289261386,-6.276624078542658,-8.432255394387802,-9.343542166730334,-9.694058822906538
linear_4,mix,471600,qasm simulator,1.8958990536277602,-3.869811039046576,-7.320089294330136,-9.066291057380123,-9.60734218067303,-9.839990991267271
linear_4,mix,471600,qasm simulator,1.987907465825447,-2.978860676117263,-5.356939344260888,-7.339626573391125,-8.486701182795844,-8.996483215764568
linear_4,mix,471600,qasm simulator,1.8648790746582544,-3.619242784075058,-6.769335367195327,-8.733773614515052,-9.496785513839125,-9.777664297726181
linear_4,mix,471600,qasm simulator,1.891167192429022,-3.5767773755411585,-6.351742418748602,-7.800864764942876,-8.381467222514082,-8.88522784315996
linear_4,mix,471600,qasm simulator,2.0231335436382754,-3.4634854269720496,-6.151546907214126,-7.476836750910761,-7.785545868446269,-7.786577132097069
linear_4,mix,471600,qasm simulator,1.912197686645636,-3.3855706497491234,-6.315142758852626,-8.360238727248063,-9.168928184654927,-9.614841071883397
linear_4,mix,471600,qasm simulator,1.960042060988433,-3.28183049800968,-6.207551498871282,-8.528054709668329,-9.443715197319154,-9.744580796811146
linear_4,mix,471600,qasm simulator,1.9621451104100944,-2.755469927423105,-4.0519643565276,X,-11.343225833656437,-10.270053470420358
linear_4,mix,471600,qasm simulator,1.9631966351209251,-3.4161061599147184,-6.658731548216791,-8.916092131809485,-9.640266824584318,-9.838241262552355
linear_4,mix,471600,qasm simulator,1.8664563617245002,-3.5120640104444045,-6.179494613558664,-7.606059961068251,-8.074060020547755,-8.274676307171498
linear_4,mix,471600,qasm simulator,1.874342797055731,-3.8521360897063546,-7.008786760469846,-8.785720484625166,-9.499475032277074,-9.787660406628696
