system,method,shots,computer,Moment 0,Moment 1,Moment 2,Moment 3,Moment 4,Moment 5,Moment 6,Moment 7,Moment 8,Moment 9,Moment 10,Moment 11,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_4,mix,471600,qasm simulator,1.0,2.1692954784437433,13.389064143007365,25.93375394321769,303.56151419558375,-189.75342004527295,11842.03471527963,-58194.94605281117,754696.2735719685,-6028480.3534889845,62117926.19556233,-572439033.0766708,2.1692954784437433,-3.947217920342535,-7.138585834183097,-8.883376281539995,-9.580625180958062,-9.816872326526925
linear_4,mix,471600,qasm simulator,1.0,2.1393270241850684,12.97581493165088,29.250788643533213,257.7970557308094,204.60554096543382,7763.076864902382,-20979.907494314964,391660.56628145336,-2601756.292461122,28951418.391177572,-253207353.0296516,2.1393270241850684,-3.461414648402463,-6.025770846929573,-8.334621261369682,-9.491943126570877,-9.751596012936062
linear_4,mix,471600,qasm simulator,1.0,2.2486855941114614,12.45636172450051,32.2781282860147,241.4858044164041,301.34147358497546,7096.253127955067,-15700.267663111545,342947.84056249436,-2121478.1830346673,23991753.62710279,-201655250.4565215,2.2486855941114614,-3.064636773579873,-6.1197173653756245,-8.281791365936899,-9.232567773270368,-9.598318460908963
linear_4,mix,471600,qasm simulator,1.0,2.155625657202944,12.948475289169293,27.55415352260777,267.71924290220824,89.01666381770906,8355.071200366978,-24611.592125823685,391372.001218433,-2364421.5641933503,24225323.198063537,-188612573.77550313,2.155625657202944,-3.63291004735606,-6.3452333339070535,-7.809839072256668,-8.565354903111704,-9.078279982037179
linear_4,mix,471600,qasm simulator,0.9999999999999999,2.1219768664563614,13.123028391167205,26.6046267087276,285.919032597266,-103.22879209336112,10869.776970860601,-52418.00761621601,705040.1146265543,-5724441.753700343,59988105.56071579,-561728150.0708841,2.121976866456362,-3.7372878630379955,-7.012517705038528,-9.049139089781045,-9.7239607696273,-9.866695290881474
linear_4,mix,471600,qasm simulator,1.0,2.2828601472134595,12.602523659305998,35.442691903259714,225.69400630914808,574.2558934593092,4989.017228429489,7011.974970603694,145077.34859972526,-199789.78531456724,6381390.968561315,-33831615.19156694,2.2828601472134595,-2.8265809487368534,-4.663465115651121,-6.422788924019098,-8.876025990131627,-9.387431530733487
linear_4,mix,471600,qasm simulator,1.0,2.153522607781283,12.791798107255527,30.746582544689755,253.14300736067335,266.0606154786514,7478.172851208972,-16643.339076143297,352593.18405999494,-2111066.23532858,23730816.235738937,-194535946.83395895,2.153522607781283,-3.265822684586035,-6.003230662557499,-8.100553426508597,-9.080923122029672,-9.520250449792789
linear_4,mix,471600,qasm simulator,1.0,2.2060988433228177,12.252365930599366,33.778128286014734,219.84121976866464,537.4433342139188,4710.437811838685,9195.075992948296,96671.3982038317,368147.97145630367,-687274.8642313918,44985622.18044061,2.2060988433228177,-2.77507150217475,-4.713848139602633,-5.398989510378372,-16.1485100866461,-10.847268153968031
linear_4,mix,471600,qasm simulator,1.0,2.2266035751840167,12.415352260778128,31.39379600420609,235.78864353312287,318.77300275053915,6630.491542046295,-12735.63478164034,312787.3028103382,-1912477.8002491696,22335133.403060388,-190879289.8394367,2.2266035751840167,-3.1189086231412424,-5.816878921380456,-8.243408608932935,-9.4518715845383,-9.720336887106885
linear_4,mix,471600,qasm simulator,1.0,2.2092534174553102,12.719242902208203,31.639327024185086,248.4006309148268,305.2770120122449,7113.437777881383,-13413.2846472214,320349.94221678976,-1807573.2337458418,20720843.868734077,-165360464.42641982,2.2092534174553102,-3.2053668156813604,-5.926355822236484,-7.967878279521487,-8.983202106149173,-9.428503733263199
linear_4,mix,471600,qasm simulator,1.0,2.1235541535226075,12.731861198738171,29.12670872765512,253.83491062039943,202.56407566834005,7621.311751464951,-19284.039982975286,363735.86403330776,-2240036.1531286575,24516055.258253347,-202065410.33955747,2.1235541535226075,-3.3669453441398582,-6.085222083662083,-8.044135555952035,-9.059267300187997,-9.503942425883313
linear_4,mix,471600,qasm simulator,1.0,2.1519453207150367,12.822292323869622,27.13722397476341,276.9221871713983,-51.3623642212241,10288.506769298203,-46725.495317348126,643902.4124296324,-5075761.189693155,53132939.625308394,-489827393.7292964,2.1519453207150367,-3.6254183502399098,-6.954993760674686,-8.926547088172773,-9.603079945063492,-9.819464873104359
linear_4,mix,471600,qasm simulator,1.0,2.229232386961093,13.01787592008413,30.800210304942144,256.1272344900104,276.19867083132505,7370.642720450393,-15586.964966442694,345701.91744523717,-2100984.7860616324,24111935.906991642,-203463549.84688377,2.229232386961093,-3.4301595606015765,-5.876114206145386,-8.136835654591161,-9.36108232325498,-9.672485660666176
linear_4,mix,471600,qasm simulator,1.0,2.2334384858044163,12.83806519453207,32.189274447949465,253.91692954784412,280.46983988852696,7634.622003629407,-18345.71269029766,377588.92878179235,-2392374.0809207815,26873125.82805245,-228213600.80233777,2.2334384858044163,-3.223896378818631,-6.149520586309643,-8.337288332154502,-9.287322505728856,-9.643698895563102
linear_4,mix,471600,qasm simulator,1.0,2.1971608832807568,13.009463722397467,31.42744479495268,253.6288117770767,320.24932272484983,6946.029435785318,-9797.11532843312,278676.3107937549,-1311578.4593289697,15331089.408290375,-107321156.6710093,2.1971608832807568,-3.3299500918650238,-5.741502531423882,-7.509684543653007,-8.344478194923054,-8.699007910011463
linear_4,mix,471600,qasm simulator,1.0,2.1198738170347005,12.672975814931652,30.110410094637245,245.20399579390124,268.2925517862954,7152.861864646279,-16753.383839325656,353897.68759701774,-2290051.7760568922,26108206.8560701,-227496270.51822832,2.1198738170347005,-3.2470730368508383,-5.87544398171452,-8.363158871104286,-9.515416840191136,-9.751346909054284
linear_4,mix,471600,qasm simulator,0.9999999999999999,2.0835962145110405,12.919032597266039,26.344374342797074,274.4868559411148,-34.62103930009038,9862.2825372652,-42836.561149010784,599020.347785323,-4645146.795257433,48740698.59684451,-446998528.02927405,2.083596214511041,-3.6472331897435675,-6.744422568035711,-8.818636798590411,-9.591140939228813,-9.809006069951174
linear_4,mix,471600,qasm simulator,1.0,2.2245005257623554,12.980021030494216,29.651419558359635,274.37329127234534,71.14618524446675,9484.851313715211,-35875.97800862985,538789.441803834,-3913724.1060235584,41192052.069314174,-364761833.5540886,2.2245005257623554,-3.5247088558613413,-6.768137298111857,-8.62396606937839,-9.360223235460884,-9.718434299248154
linear_4,mix,471600,qasm simulator,1.0,2.1461619348054675,12.702418506834901,30.794952681388025,249.00630914826533,267.0426514998481,7343.7449969121735,-16824.46506054457,351551.12204248115,-2159886.273317558,24239406.09371635,-202226137.23453104,2.1461619348054675,-3.2188467011764685,-6.015040269942164,-8.179313189776792,-9.177422336548428,-9.57715187084207
linear_4,mix,471600,qasm simulator,1.0,2.263406940063091,12.79284963196635,34.12460567823346,238.08727655099915,465.31695182152373,5979.502206935684,-1821.325086030006,223592.95248973137,-897547.7256173666,12585319.913095767,-89403148.56365672,2.263406940063091,-3.0365860591663014,-5.270312907348248,-7.5015076031234145,-8.84341649348417,-9.268790720338036
linear_4,mix,471600,qasm simulator,1.0,2.2113564668769716,12.65930599369086,33.18717139852788,242.62355415352275,381.7619462013023,6763.789838369102,-10662.910273344676,312629.7811119242,-1826243.2839082049,21995951.00541128,-185303458.57109085,2.2113564668769716,-3.026295331234325,-5.7410237579127505,-8.251978999308479,-9.44476009996075,-9.700501618507637
linear_4,mix,471600,qasm simulator,1.0,2.2024185068349107,12.842271293375394,30.41692954784436,257.0883280757096,229.52929765401183,7760.317860322771,-19904.313436379256,384942.9188996456,-2483385.346833666,27712982.86491897,-238137357.07683998,2.2024185068349107,-3.36973684257048,-6.126433717451417,-8.250741989672514,-9.386376505881259,-9.691993308225738
linear_4,mix,471600,qasm simulator,1.0,2.211882229232387,12.553101997896963,32.11619348054677,239.21030494216566,344.92256789586185,6591.650944444187,-9778.553025162264,278738.95619510347,-1420992.2827257551,16552172.198590066,-123142484.9332161,2.211882229232387,-3.0891497480766157,-5.771638819042543,-7.834068750376755,-8.597685187310653,-9.02322119278759
linear_4,mix,471600,qasm simulator,1.0,2.1167192429022084,13.079915878023149,26.864353312302818,277.59726603575166,8.488658554904433,9461.81463409303,-36013.054815689604,523831.0982355449,-3768853.8764593857,39387829.93659719,-347192984.9003937,2.1167192429022084,-3.6926037450577334,-6.584905793227415,-8.429543269519542,-9.361447560158314,-9.697779090812343
linear_4,mix,471600,qasm simulator,1.0,2.143007360672976,13.171398527865389,27.148264984227133,277.6288117770769,35.18829544218543,9175.605243695301,-32194.600159886813,481130.3890601126,-3291464.503496744,34263736.20982028,-292910470.52558774,2.143007360672976,-3.7295333192071465,-6.479194408982539,-8.229918945838692,-9.163753870937072,-9.597030636611658
linear_4,mix,471600,qasm simulator,1.0,2.1593059936908516,12.972660357518407,30.191903259726587,262.8212407991584,197.74135859064637,8265.642387784146,-24210.668913890742,432863.5580655202,-2932604.3248984003,32230727.81134685,-281606686.2057531,2.1593059936908516,-3.3935230113146577,-6.2444822148532975,-8.458952196019833,-9.421249719115353,-9.716392367904795
linear_4,mix,471600,qasm simulator,1.0,2.10410094637224,12.453207150368032,30.144058885383842,246.3375394321765,207.03839360175482,8014.0385288553625,-27269.864822958738,473363.1562069607,-3581980.997884284,39815114.43977276,-370139881.1748333,2.10410094637224,-3.1427198953322533,-6.333785568292412,-9.065297555881553,-9.844543039939188,-9.915230268975073
linear_4,mix,471600,qasm simulator,0.9999999999999999,2.2250262881177707,12.631966351209241,30.936908517350144,250.9263932702416,233.77187611692227,7848.573925870649,-23197.560450584344,430319.7116215058,-3062483.03016387,34358937.54963028,-311881457.07673144,2.225026288117771,-3.2575590055894166,-6.236435484393255,-8.743419990461035,-9.735456864545053,-9.865496884704521
linear_4,mix,471600,qasm simulator,1.0,2.164563617245005,12.80441640378548,29.892218717139876,258.17770767613047,178.17101780340036,8174.725721836892,-24751.822132609585,426756.5593587709,-2879351.3476682156,31144491.678710528,-268893149.9666442,2.164563617245005,-3.3648632156140073,-6.326610690183289,-8.413488622734176,-9.280565802535353,-9.660672577903906
linear_4,mix,471600,qasm simulator,1.0,2.1603575184016828,13.083070452155619,29.905888538380665,261.96109358569936,226.68587123743492,7724.246285850109,-17744.32125806546,355081.05408071494,-2085544.4324595314,23060970.305703074,-185437099.44476816,2.1603575184016828,-3.462114742517557,-6.008138128837586,-7.92830753499312,-8.955650941633447,-9.43095326631957
linear_4,mix,471600,qasm simulator,0.9999999999999999,2.298107255520504,12.829652996845427,32.74185068349102,257.1177707676132,247.78833014767977,8206.387866429292,-25179.400362421937,458792.4580509571,-3299356.4004378263,36752324.29778769,-333467444.2196706,2.2981072555205047,-3.2315634033146137,-6.438875543272797,-8.839062956025195,-9.692729211216026,-9.83796896337076
linear_4,mix,471600,qasm simulator,1.0,2.131966351209254,12.509989484752884,30.59043112513144,237.24815983175606,343.63379227466,6215.6447601895925,-6169.012316997611,235199.69487078185,-996850.6020243682,12303270.488476643,-82235515.27804805,2.131966351209254,-3.1482553913520626,-5.531343087585846,-7.306285530204173,-8.247825969729181,-8.57204602379211
linear_4,mix,471600,qasm simulator,1.0,2.1261829652996846,12.7434279705573,30.329127234490013,247.03995793901217,288.9748203861123,7064.594985142241,-14327.283145043399,331511.4855880117,-2005540.8667084489,23211262.12206145,-195993922.0835657,2.1261829652996846,-3.2596062386953912,-5.787087693036564,-8.146501289619694,-9.367722561005248,-9.680607518052087
