system,method,shots,computer,PDS 1,PDS 2,PDS 3,PDS 4,PDS 5,PDS 6
linear_4,mix,471600,qasm simulator,2.1692954784437433,-3.947217920342535,-7.138585834183097,-8.883376281539995,-9.580625180958062,-9.816872326526925
linear_4,mix,471600,qasm simulator,2.1393270241850684,-3.461414648402463,-6.025770846929573,-8.334621261369682,-9.491943126570877,-9.751596012936062
linear_4,mix,471600,qasm simulator,2.2486855941114614,-3.064636773579873,-6.1197173653756245,-8.281791365936899,-9.232567773270368,-9.598318460908963
linear_4,mix,471600,qasm simulator,2.155625657202944,-3.63291004735606,-6.3452333339070535,-7.809839072256668,-8.565354903111704,-9.078279982037179
linear_4,mix,471600,qasm simulator,2.121976866456362,-3.7372878630379955,-7.012517705038528,-9.049139089781045,-9.7239607696273,-9.866695290881474
linear_4,mix,471600,qasm simulator,2.2828601472134595,-2.8265809487368534,-4.663465115651121,-6.422788924019098,-8.876025990131627,-9.387431530733487
linear_4,mix,471600,qasm simulator,2.153522607781283,-3.265822684586035,-6.003230662557499,-8.100553426508597,-9.080923122029672,-9.520250449792789
linear_4,mix,471600,qasm simulator,2.2060988433228177,-2.77507150217475,-4.713848139602633,-5.398989510378372,-16.1485100866461,-10.847268153968031
linear_4,mix,471600,qasm simulator,2.2266035751840167,-3.1189086231412424,-5.816878921380456,-8.243408608932935,-9.4518715845383,-9.720336887106885
linear_4,mix,471600,qasm simulator,2.2092534174553102,-3.2053668156813604,-5.926355822236484,-7.967878279521487,-8.983202106149173,-9.428503733263199
linear_4,mix,471600,qasm simulator,2.1235541535226075,-3.3669453441398582,-6.085222083662083,-8.044135555952035,-9.059267300187997,-9.503942425883313
linear_4,mix,471600,qasm simulator,2.1519453207150367,-3.6254183502399098,-6.954993760674686,-8.926547088172773,-9.603079945063492,-9.819464873104359
linear_4,mix,471600,qasm simulator,2.229232386961093,-3.4301595606015765,-5.876114206145386,-8.136835654591161,-9.36108232325498,-9.672485660666176
linear_4,mix,471600,qasm simulator,2.2334384858044163,-3.223896378818631,-6.149520586309643,-8.337288332154502,-9.287322505728856,-9.643698895563102
linear_4,mix,471600,qasm simulator,2.1971608832807568,-3.3299500918650238,-5.741502531423882,-7.509684543653007,-8.344478194923054,-8.699007910011463
linear_4,mix,471600,qasm simulator,2.1198738170347005,-3.2470730368508383,-5.87544398171452,-8.363158871104286,-9.515416840191136,-9.751346909054284
linear_4,mix,471600,qasm simulator,2.083596214511041,-3.6472331897435675,-6.744422568035711,-8.818636798590411,-9.591140939228813,-9.809006069951174
linear_4,mix,471600,qasm simulator,2.2245005257623554,-3.5247088558613413,-6.768137298111857,-8.62396606937839,-9.360223235460884,-9.718434299248154
linear_4,mix,471600,qasm simulator,2.1461619348054675,-3.2188467011764685,-6.015040269942164,-8.179313189776792,-9.177422336548428,-9.57715187084207
linear_4,mix,471600,qasm simulator,2.263406940063091,-3.0365860591663014,-5.270312907348248,-7.5015076031234145,-8.84341649348417,-9.268790720338036
linear_4,mix,471600,qasm simulator,2.2113564668769716,-3.026295331234325,-5.7410237579127505,-8.251978999308479,-9.44476009996075,-9.700501618507637
linear_4,mix,471600,qasm simulator,2.2024185068349107,-3.36973684257048,-6.126433717451417,-8.250741989672514,-9.386376505881259,-9.691993308225738
linear_4,mix,471600,qasm simulator,2.211882229232387,-3.0891497480766157,-5.771638819042543,-7.834068750376755,-8.597685187310653,-9.02322119278759
linear_4,mix,471600,qasm simulator,2.1167192429022084,-3.6926037450577334,-6.584905793227415,-8.429543269519542,-9.361447560158314,-9.697779090812343
linear_4,mix,471600,qasm simulator,2.143007360672976,-3.7295333192071465,-6.479194408982539,-8.229918945838692,-9.163753870937072,-9.597030636611658
linear_4,mix,471600,qasm simulator,2.1593059936908516,-3.3935230113146577,-6.2444822148532975,-8.458952196019833,-9.421249719115353,-9.716392367904795
linear_4,mix,471600,qasm simulator,2.10410094637224,-3.1427198953322533,-6.333785568292412,-9.065297555881553,-9.844543039939188,-9.915230268975073
linear_4,mix,471600,qasm simulator,2.225026288117771,-3.2575590055894166,-6.236435484393255,-8.743419990461035,-9.735456864545053,-9.865496884704521
linear_4,mix,471600,qasm simulator,2.164563617245005,-3.3648632156140073,-6.326610690183289,-8.413488622734176,-9.280565802535353,-9.660672577903906
linear_4,mix,471600,qasm simulator,2.1603575184016828,-3.462114742517557,-6.008138128837586,-7.92830753499312,-8.955650941633447,-9.43095326631957
linear_4,mix,471600,qasm simulator,2.2981072555205047,-3.2315634033146137,-6.438875543272797,-8.839062956025195,-9.692729211216026,-9.83796896337076
linear_4,mix,471600,qasm simulator,2.131966351209254,-3.1482553913520626,-5.531343087585846,-7.306285530204173,-8.247825969729181,-8.57204602379211
linear_4,mix,471600,qasm simulator,2.1261829652996846,-3.2596062386953912,-5.787087693036564,-8.146501289619694,-9.367722561005248,-9.680607518052087
linear_4,mix,471600,qasm simulator,2.2476340694006307,-3.0023707198075464,-5.688124169292628,-8.116709540339066,-9.261709111317614,-9.594838468357292
linear_4,mix,471600,qasm simulator,2.20136698212408,-3.250922016017344,-6.072347653494731,-8.220048159997152,-9.44496893548648,-9.719874985303477
linear_4,mix,471600,qasm simulator,2.1876971608832805,-2.8994181502204963,-4.749378210755795,-6.583640335147435,-8.647919118258503,-9.191482960001018
linear_4,mix,471600,qasm simulator,2.1414300736067293,-3.090043947923181,-5.499616131216084,-8.154268673256459,-9.588127264553858,-9.797594970281438
linear_4,mix,471600,qasm simulator,2.217665615141956,-3.009847909535279,-5.329777546234947,-7.480494045897713,-8.842746375787518,-9.29092196268548
linear_4,mix,471600,qasm simulator,2.203470031545741,-3.6580478396380056,-6.735454638950802,-8.722472107185911,-9.564818089004909,-9.795828840023724
linear_4,mix,471600,qasm simulator,2.1587802313354363,-3.1479708977686793,-5.503077891009115,-7.088383242766209,-7.571487070656271,X
linear_4,mix,471600,qasm simulator,2.1887486855941116,-3.4771625380074753,-6.469062698178975,-8.597721955065825,-9.533181957340283,-9.774997323313407
linear_4,mix,471600,qasm simulator,2.124605678233439,-3.7238707515838114,-6.541837999376611,-8.559444213300804,-9.50845393951021,-9.76894446397805
linear_4,mix,471600,qasm simulator,2.1572029442691907,-3.194424716719924,-5.886022158146096,-8.23497696440254,-9.531091921480133,-9.760347340575837
linear_4,mix,471600,qasm simulator,2.2239747634069396,-3.117177474892699,-6.000124640136123,-8.564825652181415,-9.584090780458837,-9.784853598133894
linear_4,mix,471600,qasm simulator,2.2381703470031544,-3.719202821812665,-7.14775310990681,-9.068882123697305,-9.753451226249668,-9.87632107159448
linear_4,mix,471600,qasm simulator,2.0993690851735014,-3.799461485730988,-6.567609211786682,-8.123525261194334,-8.9172611474994,-9.465253415023513
linear_4,mix,471600,qasm simulator,2.244479495268139,-3.554862329758278,-6.52043844753358,-7.991695101518548,-8.721389062365155,-9.26762620609585
linear_4,mix,471600,qasm simulator,2.221871713985278,-3.8191724459886194,-7.127652059039839,-9.070603953742271,-9.710298990650287,-9.861686134911006
linear_4,mix,471600,qasm simulator,2.1577287066246056,-3.3600408096609344,-6.307071780001152,-8.45045223753579,-9.451871028445645,-9.733635998483074
linear_4,mix,471600,qasm simulator,2.2686645636172456,-3.389543953991389,-6.26199922611349,-8.25672650852713,-9.298472584218048,-9.648759956887348
linear_4,mix,471600,qasm simulator,2.177707676130389,-3.2699730876272532,-5.98627027849484,-7.996521986512441,-9.041942964522972,-9.477670184599383
linear_4,mix,471600,qasm simulator,2.118296529968454,-3.583727094898751,-6.211302166037195,-7.833735829806387,-8.730282710487648,-9.246519088403353
linear_4,mix,471600,qasm simulator,2.076235541535226,-3.564639295281107,-6.403524072963613,-8.415265828883912,-9.36669508723783,-9.701976971113833
linear_4,mix,471600,qasm simulator,2.1729758149316507,-3.1729040574493848,-6.00238916434885,-8.562376601063502,-9.642210956513463,-9.822263470752834
linear_4,mix,471600,qasm simulator,2.158254468980021,-3.8865946256070374,-7.189961117848848,-8.94561895630157,-9.618398867614292,-9.83161986198108
linear_4,mix,471600,qasm simulator,2.169821240799158,-3.5041340737958815,-6.2310166486359435,-8.234791431456703,-9.281061916494426,-9.646490057102067
linear_4,mix,471600,qasm simulator,2.1934805467928493,-3.2507777308066044,-6.149731020890628,-8.00510907905813,-8.816113093268513,-9.342486806565363
linear_4,mix,471600,qasm simulator,2.1756046267087275,-3.504253801456586,-6.619810787949376,-8.178829146908198,-8.915157508880279,-9.468291659250129
linear_4,mix,471600,qasm simulator,2.2539432176656153,-3.3401007987143356,-6.209842977053821,-8.608857062225411,-9.657842705758775,-9.827878272912672
linear_4,mix,471600,qasm simulator,2.1871713985278656,-3.174558721522721,-5.8210359921067525,-7.571082679858845,-8.552378624246,-8.986837216234163
linear_4,mix,471600,qasm simulator,2.1708727655099898,-3.340937685753644,-5.928469400533747,-7.977225682291809,-9.194304319647207,-9.578639567357193
linear_4,mix,471600,qasm simulator,2.251840168243953,-3.2126995008953174,-5.790575398082455,-7.925336660397875,-9.135053699016417,-9.527836144516922
linear_4,mix,471600,qasm simulator,2.228706624605678,-3.2895625779462914,-5.985981344615841,-7.74055738049153,-8.764890470076857,-9.252535157097341
linear_4,mix,471600,qasm simulator,2.121451104100947,-3.586403626785997,-6.736724146387994,-8.778367676604145,-9.52688458517903,-9.785683251228157
linear_4,mix,471600,qasm simulator,2.1855941114616195,-3.522748248277129,-6.401584540599471,-7.824926656134815,-8.33556462617779,-8.720539125194263
